case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270101,108988,120,Black,600 - 1500 RPM,43.25 CFM,24.8 dB,Yes
270102,108989,120,Black,600 - 1500 RPM,43.25 CFM,24.8 dB,Yes
270103,108990,120,White,2200 RPM,63 CFM,36 dB,Yes
270104,108991,120,Multicolor,300 - 1500 RPM,54.97 CFM,22.4 dB,Yes
270105,108992,120,Black / Clear,500 - 1500 RPM,56.5 CFM,17.8 - 27 dB,Yes
270106,108993,120,Black,1450 RPM,50.5 CFM,16.4 dB,Yes
270107,108994,140,Multicolor,300 - 1500 RPM,82.52 CFM,24.6 dB,Yes
270108,108995,120,Gray,450 - 1700 RPM,70.75 CFM,25.1 dB,Yes
270109,108996,120,Black,500 - 1500 RPM,17.48 - 52.44 CFM,22 - 33 dB,Yes
270110,108997,120,Black,650 - 2000 RPM,59 CFM,31 dB,No
270111,108998,120,Black,500 - 1500 RPM,51.4 - 87 CFM,20.2 dB,Yes
270112,108999,120,White / Black,1300 RPM,74 CFM,,No
270113,109000,120,White,2200 RPM,63 CFM,36 dB,Yes
270114,109001,120,Brown,450 - 2000 RPM,49.73 - 60.1 CFM,18.8 - 22.6 dB,Yes
270115,109002,120,Brown,300 - 1500 RPM,43.73 - 54.97 CFM,18.6 - 22.4 dB,Yes
270116,109003,120,Brown / Black,750 - 3000 RPM,109.89 CFM,43.5 dB,Yes
270117,109004,120,Black,650 - 2000 RPM,59 CFM,31 dB,Yes
270118,109005,140,Brown,300 - 1500 RPM,68 - 82.5 CFM,19.2 - 24.6 dB,Yes
270119,109006,140,Black,600 - 1300 RPM,51.5 CFM,25 dB,Yes
270120,109007,140,Brown / Black,800 - 3000 RPM,158.5 CFM,41.3 dB,Yes
270121,109008,120,Black,1500 RPM,41.8 CFM,26 dB,Yes
270122,109009,140,Black,1000 RPM,59.5 CFM,15.5 dB,Yes
270123,109010,120,Black,400 - 2400 RPM,12 - 75 CFM,16 - 37 dB,Yes
270124,109011,120,Black,500 - 1500 RPM,17.48 - 52.44 CFM,22 - 33 dB,Yes
270125,109012,120,Black / White,500 - 1500 RPM,56.5 CFM,27 dB,Yes
270126,109013,140,Black,500 - 1500 RPM,30.39 - 91.19 CFM,22 - 33 dB,Yes
270127,109014,140,Black,600 - 1300 RPM,51.5 CFM,25 dB,Yes
270128,109015,140,Black / Gray,450 - 1500 RPM,78.69 CFM,25.8 dB,Yes
270129,109016,120,Black,200 - 1800 RPM,56.3 CFM,,Yes
270130,109017,120,Black,1400 RPM,52 CFM,26 dB,No
270131,109018,120,Black / White,1400 RPM,52 CFM,26 dB,No
270132,109019,140,Black,400 - 1000 RPM,61.2 CFM,19.8 dB,Yes
270133,109020,120,Black,500 - 1500 RPM,56.45 CFM,25.8 dB,Yes
270134,109021,120,Black / White,400 - 1600 RPM,47.3 CFM,25 dB,Yes
270135,109022,140,Black,500 - 1400 RPM,63.19 CFM,27.2 dB,Yes
270136,109023,120,Multicolor,300 - 1200 RPM,63.27 CFM,17.8 dB,Yes
270137,109024,120,Black,200 - 1800 RPM,56.3 CFM,,Yes
270138,109025,120,Brown,450 - 1850 RPM,41.67 - 55.44 CFM,16.8 - 23.9 dB,Yes
270139,109026,120,Black,2200 RPM,73.33 CFM,28.6 dB,Yes
270140,109027,120,Black / White,800 - 1725 RPM,54.4 CFM,18 - 30 dB,Yes
270141,109028,120,White,1500 RPM,52.19 CFM,25.2 dB,No
270142,109029,120,Black / White,1350 RPM,53 CFM,,Yes
