cpu_id,product_id,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt
275101,110480,6,3.6 GHz,4.2 GHz,65 W,None,Yes
275102,110481,6,3.4 GHz,3.9 GHz,65 W,None,Yes
275103,110482,8,3.7 GHz,4.3 GHz,105 W,None,Yes
275104,110483,8,3.6 GHz,4.4 GHz,65 W,None,Yes
275105,110484,8,3.6 GHz,4.9 GHz,95 W,Intel UHD Graphics 630,No
275106,110485,6,3.8 GHz,4.4 GHz,95 W,None,Yes
275107,110486,12,3.8 GHz,4.6 GHz,105 W,None,Yes
275108,110487,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No
275109,110488,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes
275110,110489,6,3.6 GHz,4.2 GHz,95 W,None,Yes
275111,110490,4,3.5 GHz,3.7 GHz,65 W,Radeon Vega 8,No
275112,110491,8,3.9 GHz,4.5 GHz,105 W,None,Yes
275113,110492,16,3.5 GHz,4.7 GHz,105 W,None,Yes
275114,110493,8,3.2 GHz,4.1 GHz,65 W,None,Yes
275115,110494,6,2.9 GHz,4.1 GHz,65 W,None,No
275116,110495,4,3.6 GHz,4 GHz,65 W,Radeon Vega 8,No
275117,110496,4,3.7 GHz,4.2 GHz,65 W,Radeon Vega 11,Yes
275118,110497,8,4 GHz,5 GHz,127 W,Intel UHD Graphics 630,Yes
275119,110498,32,3.7 GHz,4.5 GHz,280 W,None,Yes
275120,110499,4,3.1 GHz,3.4 GHz,65 W,None,No
275121,110500,4,3.6 GHz,4.2 GHz,65 W,None,No
275122,110501,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes
275123,110502,6,3.2 GHz,3.6 GHz,65 W,None,Yes
275124,110503,2,3.5 GHz,,35 W,Radeon Vega 3,Yes
275125,110504,4,4 GHz,4.2 GHz,91 W,Intel HD Graphics 530,Yes
275126,110505,4,3.5 GHz,3.7 GHz,65 W,None,Yes
275127,110506,4,3.6 GHz,3.9 GHz,65 W,Radeon Vega 11,Yes
275128,110507,4,4.2 GHz,4.5 GHz,91 W,Intel HD Graphics 630,Yes
275129,110508,22,2.2 GHz,3.6 GHz,145 W,None,Yes
275130,110509,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes
275131,110510,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No
275132,110511,6,3.7 GHz,4.6 GHz,95 W,None,No
275133,110512,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No
275134,110513,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No
275135,110514,24,3.8 GHz,4.5 GHz,280 W,None,Yes
275136,110515,4,3.5 GHz,3.9 GHz,91 W,Intel HD Graphics 530,No
275137,110516,12,3.5 GHz,4 GHz,180 W,None,Yes
275138,110517,8,3.6 GHz,5 GHz,95 W,None,Yes
275139,110518,8,3.6 GHz,4.9 GHz,95 W,None,No
275140,110519,4,3.6 GHz,,65 W,Intel UHD Graphics 630,No
275141,110520,18,3 GHz,4.8 GHz,165 W,None,Yes
