cpu_cooler_id,product_id,fan_rpm,noise_level,color,radiator_size
280101,111693,600 - 2000 RPM,9 - 36 dB,,
280102,111694,2400 RPM,37 dB,Black / Silver,240 mm
280103,111695,650 - 2000 RPM,8 - 30 dB,Black,
280104,111696,650 - 2000 RPM,6 - 30 dB,,240 mm
280105,111697,500 - 1800 RPM,21 - 38 dB,,280 mm
280106,111698,2400 RPM,37 dB,Black,240 mm
280107,111699,1600 RPM,25 dB,,360 mm
280108,111700,1500 RPM,12.8 - 24.3 dB,Black,
280109,111701,700 - 3000 RPM,39 dB,,
280110,111702,650 - 2000 RPM,6.5 - 26 dB,Black,
280111,111703,2200 RPM,36 dB,White,240 mm
280112,111704,300 - 1500 RPM,19.2 - 24.6 dB,,
280113,111705,500 - 2000 RPM,21 - 36 dB,Black,360 mm
280114,111706,300 - 1500 RPM,19.2 - 24.6 dB,Black,
280115,111707,1700 RPM,28.3 dB,Black,120 mm
280116,111708,500 - 2000 RPM,21 - 36 dB,,240 mm
280117,111709,2500 - 2999 RPM,14.8 - 23.6 dB,,
280118,111710,2000 RPM,37 dB,Black / Silver,280 mm
280119,111711,450 - 2000 RPM,29.7 dB,Black,360 mm
280120,111712,300 - 1500 RPM,18.6 - 22.4 dB,Black,
280121,111713,1400 RPM,,Black,
280122,111714,600 - 2500 RPM,14.8 - 23.6 dB,Black,
280123,111715,500 - 2000 RPM,21 - 36 dB,Black,120 mm
280124,111716,1500 RPM,35 dB,,280 mm
280125,111717,650 - 2000 RPM,6 - 34 dB,Black,360 mm
280126,111718,600 - 2500 RPM,14.8 - 23.6 dB,Brown,
280127,111719,2000 RPM,13.1 - 25.4 dB,,
280128,111720,1700 RPM,37 dB,Black,240 mm
280129,111721,1200 RPM,20.4 dB,,280 mm
280130,111722,1200 - 2800 RPM,22 dB,Silver / Black,
280131,111723,300 - 1500 RPM,18.6 - 22.4 dB,,
280132,111724,900 - 1500 RPM,17.8 - 30 dB,Blue / Silver,
280133,111725,650 - 2000 RPM,6 - 30 dB,,240 mm
280134,111726,2000 RPM,40 dB,,280 mm
280135,111727,300 - 1500 RPM,19.2 - 24.6 dB,,
280136,111728,330 - 1600 RPM,1 - 25 dB,,
280137,111729,650 - 2000 RPM,6 - 30 dB,,120 mm
280138,111730,200 - 2100 RPM,,White / Black,
280139,111731,300 - 1200 RPM,4 - 24.9 dB,Silver / Black,
280140,111732,450 - 2000 RPM,18.8 - 22.6 dB,Brown,
280141,111733,2435 RPM,37.7 dB,,240 mm
280142,111734,500 - 1500 RPM,27 dB,Black / Silver,
280143,111735,1200 - 1500 RPM,12.8 - 24.3 dB,Black,
280144,111736,100 - 2000 RPM,,Black / White,
280145,111737,2000 RPM,30.85 dB,,120 mm
280146,111738,400 - 2000 RPM,16.3 - 22.8 dB,,
280147,111739,500 - 1800 RPM,32.1 dB,Black,360 mm
280148,111740,650 - 2000 RPM,6 - 30 dB,,120 mm
280149,111741,500 - 2000 RPM,32.2 dB,,360 mm
280150,111742,500 - 1800 RPM,21 - 38 dB,,280 mm
280151,111743,2800 RPM,17 - 35 dB,,
280152,111744,1200 - 1500 RPM,19.2 - 24.6 dB,,
280153,111745,200 - 1800 RPM,,Black,240 mm
280154,111746,2435 RPM,37.7 dB,,120 mm
280155,111747,500 - 1400 RPM,19.8 - 24.7 dB,,360 mm
280156,111748,600 - 2200 RPM,16 - 39.5 dB,,280 mm
280157,111749,800 - 2500 RPM,37.6 dB,Black,360 mm
280158,111750,600 - 2400 RPM,30 dB,Black / Multicolor,
280159,111751,1700 RPM,30.32 dB,,120 mm
280160,111752,900 - 1200 RPM,12.6 - 19.8 dB,,
280161,111753,900 - 1500 RPM,21.4 - 32.1 dB,,
280162,111754,300 - 1500 RPM,19.2 - 24.6 dB,,
280163,111755,450 - 1850 RPM,16.8 - 23.9 dB,,
280164,111756,500 - 2000 RPM,21 - 36 dB,,240 mm
280165,111757,1500 RPM,19.1 - 26.8 dB,,
280166,111758,500 - 1800 RPM,32.1 dB,Black,240 mm
280167,111759,2500 RPM,18 - 39.5 dB,Black,360 mm
280168,111760,600 - 1600 RPM,9 - 31 dB,,
280169,111761,300 - 1500 RPM,19.2 - 24.6 dB,,
280170,111762,500 - 2000 RPM,,,
280171,111763,1500 RPM,11 - 23.6 dB,Black,
280172,111764,500 - 2400 RPM,16 - 39.9 dB,Black,360 mm
280173,111765,2700 RPM,37.68 dB,,240 mm
280174,111766,650 - 1800 RPM,8 - 30 dB,Silver / Black,360 mm
280175,111767,200 - 2100 RPM,,Red / Black,
280176,111768,650 - 2000 RPM,6 - 30 dB,,240 mm
280177,111769,400 - 2000 RPM,16.3 - 22.8 dB,,
280178,111770,,0 - 38 dB,Black,
280179,111771,300 - 1200 RPM,2.7 - 24.9 dB,Black / Silver,
280180,111772,500 - 1500 RPM,25.8 dB,Black,360 mm
280181,111773,650 - 1800 RPM,6 - 31 dB,Black,
280182,111774,500 - 1500 RPM,17.8 - 29.5 dB,,
280183,111775,650 - 2000 RPM,6 - 30 dB,,120 mm
280184,111776,600 - 2500 RPM,14.8 - 23.6 dB,,
280185,111777,300 - 1500 RPM,18.6 - 22.4 dB,,
280186,111778,1100 RPM,29.4 dB,Black / Blue,420 mm
280187,111779,600 - 2400 RPM,19 - 40 dB,,240 mm
280188,111780,900 - 2500 RPM,,,
280189,111781,800 - 2500 RPM,37.6 dB,Black,240 mm
280190,111782,500 - 1800 RPM,17.6 - 31.3 dB,White / Black,240 mm
280191,111783,450 - 2000 RPM,29.7 dB,Black,240 mm
280192,111784,900 - 1500 RPM,17.8 - 30 dB,White,
280193,111785,400 - 2000 RPM,16.3 - 22.8 dB,,
280194,111786,650 - 2000 RPM,6 - 30 dB,Black,240 mm
280195,111787,650 - 1800 RPM,,Black,
280196,111788,500 - 2000 RPM,32.2 dB,,240 mm
280197,111789,600 - 2500 RPM,30 dB,,
280198,111790,650 - 2000 RPM,6 - 30 dB,,240 mm
280199,111791,400 - 1500 RPM,22.1 - 28.8 dB,,
280200,111792,900 - 1500 RPM,17.8 - 30 dB,,
280201,111793,500 - 2300 RPM,14 - 28 dB,White,360 mm
280202,111794,1900 RPM,31 dB,Black,120 mm
280203,111795,800 - 2500 RPM,37 dB,Black,240 mm
280204,111796,1500 RPM,14.8 - 25.5 dB,,
280205,111797,1000 - 2500 RPM,19 - 26 dB,,
280206,111798,1400 RPM,11.9 - 26.7 dB,,
280207,111799,900 - 1600 RPM,17.8 - 21 dB,,
280208,111800,650 - 2000 RPM,,Yellow / Black,
280209,111801,500 - 2400 RPM,16 - 39.9 dB,,240 mm
280210,111802,600 - 2600 RPM,16 - 24.5 dB,,
280211,111803,300 - 800 RPM,4 - 14.5 dB,Black,
280212,111804,600 - 2200 RPM,26.4 dB,Black / Silver,
280213,111805,500 - 1600 RPM,14 - 24 dB,White,
280214,111806,500 - 1800 RPM,17.2 - 33.6 dB,,
280215,111807,500 - 2300 RPM,14 - 28 dB,Black,360 mm
280216,111808,650 - 2000 RPM,8 - 30 dB,Black,
280217,111809,800 - 2000 RPM,23.6 dB,Blue / Black,
280218,111810,2500 RPM,18 - 39.5 dB,Black,240 mm
280219,111811,2400 RPM,37 dB,Black / White,360 mm
280220,111812,800 - 2200 RPM,,,
280221,111813,500 - 1800 RPM,30 dB,Black / White,240 mm
280222,111814,,0 dB,Black,
280223,111815,500 - 1800 RPM,21 - 38 dB,,140 mm
280224,111816,650 - 2000 RPM,6 - 30 dB,,120 mm
280225,111817,,22.5 dB,,
280226,111818,200 - 1700 RPM,,Black,280 mm
280227,111819,500 - 1500 RPM,25.8 dB,Black,240 mm
280228,111820,500 - 1800 RPM,17.8 - 30 dB,Black,240 mm
280229,111821,300 - 1500 RPM,18.6 - 22.4 dB,,
280230,111822,2100 RPM,43 dB,,280 mm
280231,111823,1800 RPM,21.3 dB,,
280232,111824,600 - 2500 RPM,14.8 - 23.6 dB,,
280233,111825,500 - 1800 RPM,17.6 - 31.3 dB,,360 mm
280234,111826,500 - 2000 RPM,14 - 28 dB,Black,240 mm
280235,111827,800 - 2000 RPM,,Black,360 mm
280236,111828,300 - 1600 RPM,13.1 - 17.6 dB,,
280237,111829,1600 RPM,16.1 - 37.3 dB,,280 mm
280238,111830,300 - 1800 RPM,2.7 - 30.4 dB,Black / Silver,
280239,111831,500 - 1800 RPM,32.1 dB,White / Black,360 mm
280240,111832,300 - 1500 RPM,19.2 - 24.6 dB,,
280241,111833,200 - 2100 RPM,28 dB,Red / Black,
280242,111834,600 - 2000 RPM,9 - 36 dB,,
280243,111835,600 - 2200 RPM,26.4 dB,,
280244,111836,650 - 2000 RPM,6 - 30 dB,Black,360 mm
280245,111837,500 - 2000 RPM,17 - 32.6 dB,Black,240 mm
280246,111838,1000 - 1600 RPM,7.9 - 17.6 dB,,
280247,111839,600 - 2000 RPM,29.4 dB,Black,
280248,111840,1800 RPM,15.1 - 31.6 dB,,
280249,111841,1600 - 2000 RPM,26 - 31.5 dB,,
280250,111842,200 - 1800 RPM,,Black,120 mm
280251,111843,500 - 1800 RPM,17.8 dB,Black,240 mm
280252,111844,400 - 1400 RPM,34.2 dB,Black / Silver,
280253,111845,1800 RPM,26.92 dB,Black,
280254,111846,800 - 2500 RPM,37 dB,Black,120 mm
280255,111847,800 - 2800 RPM,14 - 37.6 dB,Black,
280256,111848,200 - 1800 RPM,24.4 dB,,
280257,111849,200 - 1800 RPM,23.5 dB,Black,
280258,111850,650 - 2000 RPM,6 - 30 dB,,
280259,111851,2000 RPM,27 dB,Black,240 mm
280260,111852,500 - 2000 RPM,32.2 dB,Black,360 mm
280261,111853,900 - 1600 RPM,17.8 - 26.1 dB,,
280262,111854,500 - 1800 RPM,17.6 - 31.3 dB,,240 mm
280263,111855,500 - 1800 RPM,30 dB,Black,360 mm
280264,111856,800 - 1500 RPM,26.4 dB,,240 mm
280265,111857,600 - 1800 RPM,25 - 32 dB,Black,240 mm
280266,111858,800 - 2000 RPM,20 - 37 dB,,280 mm
280267,111859,100 - 2000 RPM,,Black / White,
280268,111860,330 - 1600 RPM,10 - 25 dB,,
280269,111861,650 - 2200 RPM,6 - 30 dB,,280 mm
280270,111862,500 - 2000 RPM,32.2 dB,Black,240 mm
280271,111863,500 - 2000 RPM,14 - 28 dB,Black,360 mm
280272,111864,500 - 1500 RPM,25.8 dB,Black,120 mm
280273,111865,1400 - 1700 RPM,13.2 - 26.1 dB,,
280274,111866,600 - 2000 RPM,,,
280275,111867,600 - 1800 RPM,25 - 32 dB,Black,120 mm
280276,111868,800 - 1500 RPM,26.4 dB,,360 mm
280277,111869,600 - 2500 RPM,30 dB,Black / Silver,
280278,111870,2000 RPM,16.1 - 36.9 dB,,120 mm
280279,111871,800 - 2500 RPM,37.6 dB,Black,120 mm
280280,111872,1200 - 1500 RPM,,Black,240 mm
280281,111873,2700 RPM,37.68 dB,,120 mm
280282,111874,500 - 1400 RPM,19.8 - 24.7 dB,,240 mm
280283,111875,2000 RPM,16.1 - 36.9 dB,,240 mm
280284,111876,100 - 2700 RPM,,Black / Gray,
280285,111877,2500 RPM,23.8 dB,,
280286,111878,600 - 2000 RPM,29.4 dB,Black / Silver,
280287,111879,600 - 2200 RPM,26.4 dB,,
280288,111880,1800 RPM,35 dB,Black,
280289,111881,500 - 1800 RPM,30 dB,Black,240 mm
280290,111882,,0 dB,Silver,
280291,111883,600 - 1800 RPM,34.1 dB,Black,120 mm
280292,111884,100 - 2000 RPM,,Black / White,
280293,111885,1000 - 3850 RPM,,,
280294,111886,600 - 2500 RPM,30 dB,White / Orange,
280295,111887,1900 - 2300 RPM,22 dB,,
280296,111888,200 - 1800 RPM,24.4 dB,Black / Red,
280297,111889,400 - 1800 RPM,28 dB,Black,
280298,111890,900 - 1500 RPM,17.8 - 30 dB,Red / Silver,
280299,111891,550 - 1700 RPM,29 dB,,360 mm
280300,111892,500 - 1800 RPM,17.8 - 41.5 dB,Silver / Black,
280301,111893,300 - 1500 RPM,18.6 - 22.4 dB,,
280302,111894,200 - 1800 RPM,24.4 dB,Black / Yellow,
280303,111895,2000 RPM,16.1 - 36.9 dB,,360 mm
280304,111896,300 - 1600 RPM,9 - 31 dB,,
280305,111897,2200 RPM,17.8 - 30.1 dB,,
280306,111898,1800 RPM,28 dB,Silver / Black,
280307,111899,1000 - 2000 RPM,20 dB,,360 mm
280308,111900,500 - 1400 RPM,19.8 - 27.2 dB,,280 mm
280309,111901,1600 RPM,15.3 - 25.4 dB,,
280310,111902,800 - 1500 RPM,24.4 dB,,
280311,111903,1600 RPM,36 dB,,
280312,111904,600 - 1800 RPM,34.1 dB,Black,240 mm
280313,111905,1200 - 2500 RPM,26 dB,Blue / Black,
280314,111906,600 - 2200 RPM,7.4 - 35.6 dB,Black,240 mm
280315,111907,100 - 2000 RPM,,Black / White,
280316,111908,500 - 2300 RPM,14 - 28 dB,Black,360 mm
280317,111909,500 - 2400 RPM,16 - 39.9 dB,,120 mm
280318,111910,200 - 2100 RPM,,Green / Black,
280319,111911,2435 RPM,37.7 dB,,240 mm
280320,111912,650 - 1800 RPM,31.5 dB,Black,240 mm
280321,111913,500 - 1800 RPM,21 - 38 dB,,140 mm
280322,111914,100 - 2700 RPM,,Black,
280323,111915,2300 RPM,22.3 - 44.5 dB,Black,280 mm
280324,111916,,,,240 mm
280325,111917,900 - 1300 RPM,12.6 - 19.8 dB,,
280326,111918,300 - 800 RPM,4 - 14.5 dB,Silver / Black,
280327,111919,700 - 1300 RPM,19 - 23 dB,,
280328,111920,800 - 2000 RPM,24.5 dB,Black / Silver,
280329,111921,2000 RPM,31.4 dB,,120 mm
280330,111922,500 - 2000 RPM,6 - 30 dB,,240 mm
280331,111923,,,,
280332,111924,600 - 1800 RPM,6 - 31 dB,Black / Yellow,
280333,111925,800 - 1800 RPM,27.8 dB,Black,120 mm
280334,111926,400 - 1400 RPM,11.5 - 23.7 dB,,
280335,111927,800 - 2500 RPM,37.6 dB,Black,360 mm
280336,111928,500 - 1800 RPM,17.6 - 31.3 dB,,240 mm
280337,111929,500 - 1800 RPM,32.1 dB,White / Black,360 mm
280338,111930,500 - 1800 RPM,19.8 - 35.4 dB,Black,280 mm
280339,111931,500 - 1800 RPM,17.6 - 31.3 dB,,120 mm
280340,111932,600 - 2200 RPM,13 - 37 dB,,240 mm
280341,111933,700 - 1300 RPM,23 dB,,
280342,111934,500 - 1800 RPM,17.2 - 33.6 dB,Black / Red,
280343,111935,900 - 2200 RPM,10 - 22.5 dB,,
280344,111936,2000 RPM,9 - 36 dB,,
280345,111937,1300 - 2500 RPM,22 - 39 dB,,240 mm
280346,111938,1700 RPM,30.32 dB,,120 mm
280347,111939,500 - 1700 RPM,12 - 31 dB,Black / Orange,
280348,111940,,0 dB,Black,
280349,111941,400 - 1600 RPM,8 - 20.2 dB,,
280350,111942,1800 RPM,32.1 dB,,120 mm
280351,111943,600 - 2200 RPM,7.4 - 35.6 dB,Black,360 mm
280352,111944,500 - 2000 RPM,17 - 32.6 dB,Black,120 mm
280353,111945,2435 RPM,37.7 dB,,120 mm
280354,111946,500 - 1600 RPM,14 - 24 dB,Black,
280355,111947,500 - 1800 RPM,32.1 dB,White / Black,240 mm
280356,111948,1300 - 2500 RPM,22 - 39 dB,,120 mm
280357,111949,300 - 1300 RPM,15 - 21 dB,,
280358,111950,400 - 2000 RPM,16.3 - 22.8 dB,,
280359,111951,800 - 2800 RPM,17 - 35 dB,,
280360,111952,1200 - 1600 RPM,13.1 - 22.4 dB,,
280361,111953,600 - 1800 RPM,31 dB,Black / Silver,
280362,111954,2900 RPM,29.58 dB,,
280363,111955,2500 RPM,27 dB,,
280364,111956,2400 RPM,36 dB,Black / Silver,
280365,111957,300 - 1300 RPM,14 - 20 dB,,
280366,111958,500 - 1800 RPM,14 - 30 dB,,240 mm
280367,111959,800 - 2200 RPM,16 - 23 dB,,
280368,111960,2600 RPM,24.5 dB,,
280369,111961,2000 RPM,40 dB,,280 mm
280370,111962,1200 - 1500 RPM,,Black,120 mm
280371,111963,750 RPM,20.5 dB,,
280372,111964,2400 RPM,19 - 40 dB,,120 mm
280373,111965,700 - 1300 RPM,20 - 24 dB,,
280374,111966,,0 dB,,
280375,111967,800 - 1500 RPM,27 dB,White,
280376,111968,600 - 2200 RPM,7.4 - 35.6 dB,Black,120 mm
280377,111969,700 - 1200 RPM,13.4 - 19 dB,,
280378,111970,1200 - 2000 RPM,27.36 dB,,120 mm
280379,111971,500 - 1800 RPM,17.6 - 31.3 dB,,240 mm
280380,111972,900 - 2000 RPM,,,
