Name,Cores,Clock,Socket,Process,L3 Cache,TDP
Athlon 3000G,2 / 4,3.5 GHz,AM4,14 nm,4MB,35 W
Athlon Gold 3150G,4,3.5 to 3.9 GHz,AM4,12 nm,4MB,65 W
Athlon Gold 3150GE,4,3.5 to 3.8 GHz,AM4,12 nm,4MB,35 W
Athlon Gold PRO 3150G,4,3.5 to 3.9 GHz,AM4,12 nm,4MB,65 W
Athlon Gold PRO 3150GE,4,3.5 to 3.8 GHz,AM4,12 nm,4MB,35 W
Athlon Silver 3050GE,2 / 4,3.4 GHz,AM4,12 nm,4MB,35 W
Athlon Silver PRO 3125GE,2 / 4,3.4 GHz,AM4,12 nm,4MB,35 W
EPYC 7232P,8 / 16,3.1 to 3.2 GHz,SP3,7 nm,32MB,120 W
EPYC 7252,8 / 16,2.8 to 3.2 GHz,SP3,7 nm,64MB,120 W
EPYC 7262,8 / 16,3.1 to 3.3 GHz,SP3,7 nm,128MB,155 W
EPYC 7272,12 / 24,2.6 to 3.2 GHz,SP3,7 nm,64MB,120 W
EPYC 7282,16 / 32,2.8 to 3.2 GHz,SP3,7 nm,64MB,120 W
EPYC 72F3,8 / 16,3.7 to 4.1 GHz,SP3,7 nm,256MB,180 W
EPYC 7302,16 / 32,3 to 3.3 GHz,SP3,7 nm,128MB,155 W
EPYC 7302P,16 / 32,3 to 3.3 GHz,SP3,7 nm,128MB,155 W
EPYC 7313,16 / 32,3 to 3.7 GHz,SP3,7 nm,128MB,155 W
EPYC 7313P,16 / 32,3 to 3.7 GHz,SP3,7 nm,128MB,155 W
EPYC 7343,16 / 32,3.2 to 3.9 GHz,SP3,7 nm,128MB,190 W
EPYC 7352,24 / 48,2.4 to 3.3 GHz,SP3,7 nm,128MB,155 W
EPYC 73F3,16 / 32,3.5 to 4 GHz,SP3,7 nm,256MB,240 W
EPYC 7402,24 / 48,2.8 to 3.35 GHz,SP3,7 nm,128MB,180 W
EPYC 7402P,24 / 48,2.8 to 3.35 GHz,SP3,7 nm,128MB,180 W
EPYC 7413,24 / 48,2.65 to 3.6 GHz,SP3,7 nm,128MB,180 W
EPYC 7443,24 / 48,2.85 to 4 GHz,SP3,7 nm,128MB,200 W
EPYC 7443P,24 / 48,2.85 to 4 GHz,SP3,7 nm,128MB,200 W
EPYC 7452,32 / 64,2.2 to 3.35 GHz,SP3,7 nm,128MB,155 W
EPYC 7453,28 / 56,2.75 to 3.45 GHz,SP3,7 nm,64MB,225 W
EPYC 74F3,24 / 48,2.8 to 4 GHz,SP3,7 nm,256MB,240 W
EPYC 7502,32 / 64,2.5 to 3.35 GHz,SP3,7 nm,128MB,180 W
EPYC 7502P,32 / 64,2.5 to 3.35 GHz,SP3,7 nm,128MB,180 W
EPYC 7513,32 / 64,2.6 to 3.65 GHz,SP3,7 nm,128MB,200 W
EPYC 7542,32 / 64,2.9 to 3.4 GHz,SP3,7 nm,128MB,225 W
EPYC 7543,32 / 64,2.8 to 3.7 GHz,SP3,7 nm,256MB,225 W
EPYC 7543P,32 / 64,2.8 to 3.7 GHz,SP3,7 nm,256MB,225 W
EPYC 7552,48 / 96,2.2 to 3.35 GHz,SP3,7 nm,192MB,200 W
EPYC 75F3,32 / 64,2.95 to 4 GHz,SP3,7 nm,256MB,280 W
EPYC 7642,48 / 96,2.4 to 3.4 GHz,SP3,7 nm,256MB,225 W
EPYC 7643,48 / 96,2.3 to 3.6 GHz,SP3,7 nm,256MB,225 W
EPYC 7663,56 / 112,2 to 3.5 GHz,SP3,7 nm,256MB,240 W
EPYC 7702,64 / 128,2 to 3.35 GHz,SP3,7 nm,256MB,200 W
EPYC 7702P,64 / 128,2 to 3.35 GHz,SP3,7 nm,256MB,200 W
EPYC 7713,64 / 128,2 to 3.675 GHz,SP3,7 nm,256MB,225 W
EPYC 7713P,64 / 128,2 to 3.675 GHz,SP3,7 nm,256MB,225 W
EPYC 7742,64 / 128,2.25 to 3.4 GHz,SP3,7 nm,256MB,225 W
EPYC 7763,64 / 128,2.45 to 3.5 GHz,SP3,7 nm,256MB,280 W
EPYC 7F32,8 / 16,3.7 to 3.9 GHz,SP3,7 nm,128MB,180 W
EPYC 7F52,16 / 32,3.5 to 3.9 GHz,SP3,7 nm,256MB,155 W
EPYC 7F72,24 / 48,3.2 to 3.7 GHz,SP3,7 nm,192MB,240 W
EPYC 7H12,64 / 128,2.6 to 3.3 GHz,SP3,7 nm,256MB,280 W
Ryzen 3 3100,4 / 8,3.6 to 3.9 GHz,AM4,7 nm,16MB,65 W
Ryzen 3 3250U,2 / 4,2.6 to 3.5 GHz,FP5,12 nm,4MB,15 W
Ryzen 3 3300X,4 / 8,3.8 to 4.3 GHz,AM4,7 nm,16MB,65 W
Ryzen 3 4300G,4 / 8,3.8 to 4 GHz,AM4,12 nm,4MB,65 W
Ryzen 3 4300GE,4 / 8,3.5 to 4 GHz,AM4,12 nm,4MB,35 W
Ryzen 3 4300U,4,2.7 to 3.7 GHz,FP6,7 nm,4MB,25 W
Ryzen 3 PRO 4350G,4 / 8,3.8 to 4 GHz,AM4,12 nm,4MB,65 W
Ryzen 3 PRO 4350GE,4 / 8,3.5 to 4 GHz,AM4,12 nm,4MB,35 W
Ryzen 5 3500X,6,3.6 to 4.1 GHz,AM4,7 nm,32MB,65 W
Ryzen 5 3580U,4 / 8,2.1 to 3.7 GHz,FP5,12 nm,4MB,15 W
Ryzen 5 3600XT,6 / 12,3.8 to 4.5 GHz,AM4,7 nm,32MB,95 W
Ryzen 5 4500U,6,2.3 to 4 GHz,FP6,7 nm,11MB,25 W
Ryzen 5 4600G,6 / 12,3.7 to 4.2 GHz,AM4,7 nm,8MB,65 W
Ryzen 5 4600GE,6 / 12,3.3 to 4.2 GHz,AM4,7 nm,8MB,35 W
Ryzen 5 4600H,6 / 12,3 to 4 GHz,FP6,7 nm,11MB,54 W
Ryzen 5 4600HS,6 / 12,3 to 4 GHz,FP6,7 nm,11MB,35 W
Ryzen 5 4600U,6 / 12,2.1 to 4 GHz,FP6,7 nm,11MB,25 W
Ryzen 5 5500U,6 / 12,2.1 to 4 GHz,FP6,7 nm,8MB,25 W
Ryzen 5 5600X,6 / 12,3.7 to 4.6 GHz,AM4,7 nm,32MB,65 W
Ryzen 5 PRO 4650G,6 / 12,3.7 to 4.2 GHz,AM4,7 nm,8MB,65 W
Ryzen 5 PRO 4650GE,6 / 12,3.3 to 4.2 GHz,AM4,7 nm,8MB,35 W
Ryzen 7 3780U,4 / 8,2.3 to 4 GHz,FP5,12 nm,4MB,15 W
Ryzen 7 3800X,8 / 16,3.9 to 4.5 GHz,AM4,7 nm,32MB,105 W
Ryzen 7 3800XT,8 / 16,3.8 to 4.7 GHz,AM4,7 nm,32MB,105 W
Ryzen 7 4700G,8 / 16,3.6 to 4.4 GHz,AM4,7 nm,8MB,65 W
Ryzen 7 4700GE,8 / 16,3.1 to 4.3 GHz,AM4,7 nm,8MB,35 W
Ryzen 7 4700U,8,1.8 to 4.2 GHz,FP6,7 nm,12MB,25 W
Ryzen 7 4800H,8 / 16,2.9 to 4.2 GHz,FP6,7 nm,12MB,54 W
Ryzen 7 4800HS,8 / 16,2.9 to 4.2 GHz,FP6,7 nm,12MB,35 W
Ryzen 7 4800U,8 / 16,1.8 to 4.2 GHz,FP6,7 nm,8MB,25 W
Ryzen 7 5800H,8 / 16,3.2 to 4.4 GHz,FP6,7 nm,16MB,54 W
Ryzen 7 5800HS,8 / 16,2.8 to 4.4 GHz,FP6,7 nm,16MB,35 W
Ryzen 7 5800X,8 / 16,3.8 to 4.7 GHz,AM4,7 nm,32MB,105 W
Ryzen 7 PRO 4750G,8 / 16,3.6 to 4.4 GHz,AM4,7 nm,8MB,65 W
Ryzen 7 PRO 4750GE,8 / 16,3.1 to 4.3 GHz,AM4,7 nm,8MB,35 W
Ryzen 9 3900X,12 / 24,3.8 to 4.6 GHz,AM4,7 nm,64MB,105 W
Ryzen 9 3900XT,12 / 24,3.9 to 4.7 GHz,AM4,7 nm,64MB,105 W
Ryzen 9 3950X,16 / 32,3.5 to 4.7 GHz,AM4,7 nm,64MB,105 W
Ryzen 9 4900H,8 / 16,3.3 to 4.4 GHz,FP6,7 nm,12MB,54 W
Ryzen 9 4900HS,8 / 16,3 to 4.3 GHz,FP6,7 nm,12MB,35 W
Ryzen 9 5900HX,8 / 16,3.3 to 4.6 GHz,FP6,7 nm,16MB,45 W
Ryzen 9 5900X,12 / 24,3.7 to 4.8 GHz,AM4,7 nm,64MB,105 W
Ryzen 9 5950X,16 / 32,3.4 to 4.9 GHz,AM4,7 nm,64MB,105 W
Ryzen 9 5980HS,8 / 16,3 to 4.8 GHz,FP6,7 nm,16MB,35 W
Ryzen Threadripper 3960X,24 / 48,3.8 to 4.5 GHz,TR4,7 nm,128MB,280 W
Ryzen Threadripper 3970X,32 / 64,3.7 to 4.5 GHz,TR4,7 nm,128MB,280 W
Ryzen Threadripper 3990X,64 / 128,2.9 to 4.3 GHz,TR4,7 nm,128MB,280 W
Ryzen Threadripper PRO 3945WX,12 / 24,4 to 4.3 GHz,TR4,7 nm,64MB,280 W
Ryzen Threadripper PRO 3955WX,16 / 32,3.9 to 4.3 GHz,TR4,7 nm,64MB,280 W
Ryzen Threadripper PRO 3975WX,32 / 64,3.5 to 4.2 GHz,TR4,7 nm,128MB,280 W
Ryzen Threadripper PRO 3995WX,64 / 128,2.7 to 4.2 GHz,TR4,7 nm,256MB,280 W
Celeron G5900,2,3.4 GHz,LGA1200,14 nm,2MB,58 W
Celeron G5920,2,3.5 GHz,LGA1200,14 nm,2MB,58 W
Core i3 1000G1,2 / 4,1.1 to 3.2 GHz,BGA1440,10 nm,4MB,12 W
Core i3 1000G4,2 / 4,1.1 to 3.2 GHz,BGA1440,10 nm,4MB,12 W
Core i3 1005G1,2 / 4,1.2 to 3.4 GHz,BGA1440,10 nm,4MB,25 W
Core i3 10100,4 / 8,3.6 to 4.3 GHz,LGA1200,14 nm,6MB,65 W
