external_hard_drive_id,product_id,type,interface,capacity,price_per_gb,color
285101,112804,Desktop,USB 3.0,6000 GB,0.28,
285102,112805,Desktop,  in USB Type-C,USB 3.0  in,28000 GB,0.04,Black
285103,112806,Portable,USB 3.0,1000 GB,0.06,
285104,112807,Portable,USB 3.1,1920 GB,0.35,
285105,112808,Portable,USB 3.0,1000 GB,0.05,
285106,112809,Desktop,USB 3.0,4000 GB,0.03,
285107,112810,Desktop,USB 3.0,8000 GB,0.02,Black
285108,112811,Portable,USB Type-C,2000 GB,0.20,Black
285109,112812,Portable,USB 3.0,2000 GB,,
285110,112813,Portable,USB 3.0,500 GB,0.09,
285111,112814,Desktop,USB 2.0,120 GB,,
285112,112815,Portable,USB Type-C,1000 GB,0.20,
285113,112816,Desktop,USB 3.0,8000 GB,0.02,
285114,112817,Portable,USB Type-C,500 GB,0.20,
285115,112818,Desktop,  in USB Type-C,USB 3.0  in,16000 GB,0.03,Black
285116,112819,Desktop,  in USB Type-C,USB 3.0  in,20000 GB,0.04,Black
285117,112820,Portable,USB 3.0,4000 GB,0.03,Black
285118,112821,Desktop,USB 3.0,10000 GB,0.02,Black
285119,112822,Desktop,USB 3.0,10000 GB,0.02,Black
285120,112823,Portable,USB 3.0,1000 GB,0.06,Black
285121,112824,Desktop,USB 3.0,8000 GB,0.02,
285122,112825,Desktop,USB 3.0,12000 GB,0.02,
285123,112826,Portable,USB 3.0,5000 GB,0.02,Black
285124,112827,Portable,USB 3.1,4000 GB,0.19,Black
285125,112828,Portable,USB 3.0,5000 GB,0.02,Black
285126,112829,Desktop,USB 3.0,10000 GB,0.02,Black
285127,112830,Portable,USB 3.0,1000 GB,0.06,
285128,112831,Portable,USB 3.0,2000 GB,0.04,Black
285129,112832,Desktop,USB 3.0,14000 GB,0.02,
285130,112833,Portable,USB 3.0,1000 GB,,
285131,112834,Portable,USB 3.0,4000 GB,0.03,Black
285132,112835,Desktop,USB 3.0,8000 GB,0.02,Black
285133,112836,Desktop,USB 3.0,4000 GB,0.02,
285134,112837,Desktop,USB 3.0,6000 GB,0.02,Black
285135,112838,Portable,USB 3.0,4000 GB,0.03,Black
285136,112839,Desktop,SATA 6 Gb/s,8000 GB,0.02,
285137,112840,Portable,USB 3.0,2000 GB,0.05,
285138,112841,Portable,USB 3.0,2000 GB,0.08,
285139,112842,Desktop,  in USB Type-C,USB 3.0  in,12000 GB,0.04,Black
285140,112843,Desktop,Thunderbolt,4000 GB,0.15,
285141,112844,Portable,USB 3.0,2000 GB,0.05,
285142,112845,Portable,USB 3.0,2000 GB,,
285143,112846,Portable,USB 3.0,4000 GB,0.04,Black
285144,112847,Portable,USB 3.0,2000 GB,0.03,Black
285145,112848,Desktop,USB 3.0,5000 GB,0.04,
285146,112849,Desktop,USB 3.0,4000 GB,0.02,
285147,112850,Portable,USB 3.0,2000 GB,,
285148,112851,Desktop,USB 3.0,3000 GB,0.03,
285149,112852,Desktop,  in Thunderbolt,USB 3.0  in,6000 GB,0.13,
285150,112853,Desktop,USB 3.0,4000 GB,0.03,Black
285151,112854,Portable,USB 3.0,1000 GB,0.06,Black
285152,112855,Portable,USB 3.0,1000 GB,,
285153,112856,Portable,USB Type-C,250 GB,0.42,Blue
285154,112857,Portable,USB 3.0,2000 GB,0.04,White
285155,112858,Portable,USB 3.0,2000 GB,0.08,
285156,112859,Portable,USB 3.0,1000 GB,0.06,
285157,112860,Portable,USB 3.1,960 GB,0.30,
285158,112861,Desktop,USB 3.0,3000 GB,0.03,Black
285159,112862,Desktop,USB 3.0,3000 GB,0.11,
285160,112863,Desktop,  in USB Type-C,USB 3.0  in,8000 GB,0.05,Black
285161,112864,Portable,USB 3.0,5000 GB,0.02,Blue / White
285162,112865,Desktop,USB 3.0,6000 GB,0.03,Black
285163,112866,Desktop,  in USB Type-C,USB 3.0  in,4000 GB,0.08,Black
285164,112867,Desktop,USB 3.0,5000 GB,0.03,
285165,112868,Portable,USB 3.0,256 GB,0.30,
285166,112869,Desktop,USB 3.0,4000 GB,0.05,
285167,112870,Desktop,USB 3.0,2000 GB,,
285168,112871,Portable,USB Type-C,250 GB,,
285169,112872,Desktop,USB 3.0,6000 GB,0.08,
285170,112873,Portable,USB 3.0,500 GB,0.19,
285171,112874,Portable,,1000 GB,0.11,
285172,112875,Portable,USB 3.0,1000 GB,0.15,
285173,112876,Desktop,USB 3.0,8000 GB,0.03,
285174,112877,Desktop,USB 3.0,3000 GB,,
285175,112878,Portable,USB 3.0,256 GB,0.28,
285176,112879,Portable,USB 3.0,1000 GB,,
285177,112880,Portable,USB 3.0,2000 GB,,
285178,112881,Desktop,USB 3.0,4000 GB,0.02,Black
285179,112882,Desktop,Thunderbolt,25000 GB,,
285180,112883,Desktop,USB 3.0,2000 GB,,
285181,112884,Desktop,  in USB Type-C,USB 3.0  in,6000 GB,0.06,Black
285182,112885,Portable,USB 3.0,5000 GB,,Silver
285183,112886,Portable,USB 3.1,2000 GB,,Black
285184,112887,Desktop,USB 3.0,1000 GB,0.08,
285185,112888,Portable,USB 3.0,500 GB,0.16,
285186,112889,Desktop,USB 3.0,1000 GB,0.16,
285187,112890,Portable,USB 3.1,480 GB,0.59,
285188,112891,Portable,USB 3.0,1000 GB,0.19,
285189,112892,Portable,  in Thunderbolt,USB 3.0  in,2000 GB,,
285190,112893,Portable,USB 3.0,2000 GB,,
285191,112894,Portable,USB 3.0,1000 GB,0.07,
285192,112895,Desktop,USB 3.0,4000 GB,0.05,
285193,112896,Portable,,2000 GB,0.04,
285194,112897,Desktop,USB 3.0,2000 GB,0.10,
285195,112898,Portable,USB 3.0,1000 GB,0.06,
285196,112899,Portable,USB 3.0,4000 GB,,
285197,112900,Desktop,USB 3.0,4000 GB,0.04,
285198,112901,Portable,Thunderbolt,1000 GB,0.59,
285199,112902,Portable,  in IEEE 1394b,USB 2.0  in,1000 GB,,
285200,112903,Desktop,USB 3.0,3000 GB,0.08,
285201,112904,Portable,USB 3.0,512 GB,0.27,
285202,112905,Portable,USB 3.0,4000 GB,0.03,Blue / White
285203,112906,Portable,USB 3.0,2000 GB,0.14,Black
285204,112907,Desktop,USB 3.0,3000 GB,0.05,
285205,112908,Desktop,  in eSATA 3Gb/s,IEEE 1394b,USB 3.0  in,3000 GB,0.21,
285206,112909,Portable,USB 3.0,500 GB,,
285207,112910,Desktop,USB 3.0,5000 GB,0.06,
285208,112911,Portable,USB 3.0,256 GB,0.31,
285209,112912,Portable,USB 3.1,1000 GB,,Black
