headphones_id,product_id,type,frequency_response,microphone,wireless,enclosure_type,color
295101,113159,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295102,113160,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Red
295103,113161,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295104,113162,Circumaural,6 Hz - 48 kHz,No,No,Closed,Black
295105,113163,In Ear,22 Hz - 18.5 kHz,No,No,Closed,Transparent
295106,113164,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black
295107,113165,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue
295108,113166,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295109,113167,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black
295110,113168,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295111,113169,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red
295112,113170,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Gunmetal
295113,113171,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black
295114,113172,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black
295115,113173,Circumaural,13 Hz - 27 kHz,Yes,No,Closed,Black / Red
295116,113174,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black
295117,113175,Circumaural,18 Hz - 23 kHz,Yes,No,Closed,Black / Red
295118,113176,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,White
295119,113177,Circumaural,5 Hz - 45 kHz,No,No,Open,Black
295120,113178,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black
295121,113179,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green
295122,113180,Circumaural,15 Hz - 23 kHz,Yes,Yes,Closed,Black / Red
295123,113181,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black / Green
295124,113182,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295125,113183,Circumaural,15 Hz - 28 kHz,No,No,Closed,Black / Silver
295126,113184,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295127,113185,Circumaural,10 Hz - 40 kHz,Yes,No,Closed,Black
295128,113186,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295129,113187,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue
295130,113188,Circumaural,,Yes,No,Closed,Black
295131,113189,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Gray
295132,113190,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue
295133,113191,Circumaural,20 Hz - 40 kHz,Yes,No,Closed,Black / Silver
295134,113192,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Silver
295135,113193,Circumaural,4 Hz - 40 kHz,No,Yes,Closed,Black
295136,113194,Circumaural,6 Hz - 51 kHz,No,No,Open,Black / Silver
295137,113195,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295138,113196,Circumaural,,Yes,No,Closed,Black
295139,113197,Circumaural,15 Hz - 28 kHz,Yes,No,Open,Black / White
295140,113198,Circumaural,,Yes,Yes,Closed,Black
295141,113199,Circumaural,10 Hz - 41 kHz,No,No,Open,Black
295142,113200,Circumaural,5 Hz - 40 kHz,No,No,Open,Black
295143,113201,Circumaural,10 Hz - 39.5 kHz,No,No,Open,Black
295144,113202,Circumaural,5 Hz - 35 kHz,No,No,Closed,Gray
295145,113203,Circumaural,15 Hz - 28 kHz,Yes,Yes,Closed,Black / Silver
295146,113204,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green
295147,113205,Circumaural,,Yes,Yes,Closed,Black
295148,113206,Circumaural,5 Hz - 35 kHz,No,No,Open,Black / Gray
295149,113207,Circumaural,10 Hz - 50 kHz,Yes,No,Closed,Black / Gray
295150,113208,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Blue
295151,113209,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295152,113210,Circumaural,20 Hz - 30 kHz,Yes,Yes,Closed,Black
295153,113211,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Black / Green
295154,113212,Circumaural,5 Hz - 35 kHz,No,No,Open,Black
295155,113213,Circumaural,14 Hz - 26 kHz,No,No,Open,Black
295156,113214,Earbud,20 Hz - 20 kHz,No,No,Closed,Black / Silver
295157,113215,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black
295158,113216,Circumaural,15 Hz - 24 kHz,No,No,Closed,Black / Silver
295159,113217,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black
295160,113218,Circumaural,12 Hz - 35 kHz,No,No,Open,Black
295161,113219,Circumaural,4 Hz - 51 kHz,No,No,Open,Black / Silver
295162,113220,Circumaural,20 Hz - 30 kHz,Yes,Yes,Closed,White
295163,113221,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green
295164,113222,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black
295165,113223,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Red
295166,113224,Circumaural,10 Hz - 23 kHz,Yes,Yes,Closed,Black
295167,113225,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green
295168,113226,Circumaural,15 Hz - 26 kHz,Yes,No,Closed,Black / Blue
295169,113227,Circumaural,12 Hz - 38.5 kHz,No,No,Open,White / Brown
295170,113228,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue
295171,113229,Circumaural,10 Hz - 26 kHz,Yes,No,Open,Black / Red
295172,113230,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver
295173,113231,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295174,113232,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue
295175,113233,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black
295176,113234,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue
295177,113235,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black
295178,113236,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red
295179,113237,Circumaural,10 Hz - 40 kHz,Yes,No,Closed,Black
295180,113238,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue
295181,113239,Circumaural,18 Hz - 22 kHz,Yes,Yes,Closed,
295182,113240,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver
295183,113241,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295184,113242,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black
295185,113243,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red
