internal_harddrive_id,product_id,capacity,price_per_gb,harddrive_type,cache,form_factor,interface
300101,115447,1 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300102,115448,1 TB,0.15,SSD,1024 MB,2.5 in,SATA 6 Gb/s
300103,115449,500 GB,0.19,SSD,512 MB,2.5 in,SATA 6 Gb/s
300104,115450,500 GB,0.18,SSD,512 MB,M.2-2280,M.2 (M)
300105,115451,1 TB,0.17,SSD,1024 MB,M.2-2280,M.2 (M)
300106,115452,2 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300107,115453,2 TB,0.07,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300108,115454,1.02 TB,0.11,SSD,,M.2-2280,M.2 (M)
300109,115455,240 GB,0.17,SSD,,2.5 in,SATA 6 Gb/s
300110,115456,1 TB,0.13,SSD,,M.2-2280,M.2 (M)
300111,115457,500 GB,0.14,SSD,,M.2-2280,M.2 (B+M)
300112,115458,2 TB,0.25,SSD,,M.2-2280,M.2 (M)
300113,115459,1 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300114,115460,1 TB,0.11,SSD,,M.2-2280,M.2 (B+M)
300115,115461,1 TB,0.25,SSD,,M.2-2280,M.2 (M)
300116,115462,500 GB,0.24,SSD,,M.2-2280,M.2 (M)
300117,115463,250 GB,0.31,SSD,,M.2-2280,M.2 (M)
300118,115464,3 TB,0.06,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300119,115465,120 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
300120,115466,1 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300121,115467,2 TB,0.13,SSD,2048 MB,2.5 in,SATA 6 Gb/s
300122,115468,480 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300123,115469,2.048 TB,0.13,SSD,,M.2-2280,M.2 (M)
300124,115470,2 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300125,115471,4 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300126,115472,16 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300127,115473,1 TB,0.16,SSD,,M.2-2280,M.2 (M)
300128,115474,4 TB,0.26,SSD,4096 MB,2.5 in,SATA 6 Gb/s
300129,115475,250 GB,0.25,SSD,512 MB,2.5 in,SATA 6 Gb/s
300130,115476,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300131,115477,1.5 TB,1.57,SSD,,PCI-E,PCIe x4
300132,115478,500 GB,0.15,SSD,512 MB,2.5 in,SATA 6 Gb/s
300133,115479,500 GB,,SSD,,M.2-2280,M.2 (M)
300134,115480,1 TB,0.23,SSD,,M.2-2280,M.2 (M)
300135,115481,2 TB,0.21,SSD,,M.2-2280,M.2 (M)
300136,115482,500 GB,0.14,SSD,,M.2-2280,M.2 (M)
300137,115483,1 TB,0.04,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300138,115484,1 TB,0.39,SSD,1024 MB,M.2-2280,M.2 (M)
300139,115485,240 GB,0.19,SSD,,M.2-2280,M.2 (B+M)
300140,115486,1 TB,0.21,SSD,,M.2-2280,M.2 (M)
300141,115487,1 TB,0.12,SSD,1024 MB,2.5 in,SATA 6 Gb/s
300142,115488,4 TB,0.15,SSD,4096 MB,2.5 in,SATA 6 Gb/s
300143,115489,4 TB,0.2,SSD,,M.2-2280,M.2 (M)
300144,115490,500 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
300145,115491,2 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300146,115492,4 TB,0.05,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300147,115493,1 TB,0.16,SSD,,M.2-2280,M.2 (M)
300148,115494,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300149,115495,2 TB,0.25,SSD,,M.2-2280,M.2 (M)
300150,115496,2 TB,0.04,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300151,115497,240 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300152,115498,1 TB,0.09,SSD,,2.5 in,SATA 6 Gb/s
300153,115499,500 GB,0.05,7200 RPM,16 MB,3.5 in,SATA 6 Gb/s
300154,115500,2 TB,0.05,Hybrid,64 MB,3.5 in,SATA 6 Gb/s
300155,115501,480 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300156,115502,512 GB,0.35,SSD,512 MB,M.2-2280,M.2 (M)
300157,115503,960 GB,0.18,SSD,,M.2-2280,M.2 (M)
300158,115504,512 GB,0.17,SSD,,M.2-2280,M.2 (M)
300159,115505,120 GB,0.23,SSD,,2.5 in,SATA 6 Gb/s
300160,115506,1 TB,0.15,SSD,1024 MB,M.2-2280,M.2 (M)
300161,115507,500 GB,0.15,SSD,,M.2-2280,M.2 (B+M)
300162,115508,2 TB,0.29,SSD,2048 MB,M.2-2280,M.2 (M)
300163,115509,240 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
300164,115510,120 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
300165,115511,320 GB,0.05,7200 RPM,8 MB,3.5 in,SATA 3 Gb/s
300166,115512,512 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300167,115513,120 GB,0.3,SSD,,M.2-2280,M.2 (B+M)
300168,115514,2 TB,0.12,SSD,,M.2-2280,M.2 (B+M)
300169,115515,4 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300170,115516,2 TB,0.04,Hybrid,,2.5 in,SATA 6 Gb/s
300171,115517,512 GB,0.17,SSD,,M.2-2280,M.2 (B+M)
300172,115518,2 TB,0.06,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300173,115519,2 TB,0.2,SSD,,M.2-2280,M.2 (M)
300174,115520,500 GB,0.14,SSD,,M.2-2280,M.2 (M)
300175,115521,2 TB,0.02,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
300176,115522,250 GB,0.18,SSD,,M.2-2280,M.2 (M)
300177,115523,1 TB,0.17,SSD,,M.2-2280,M.2 (M)
300178,115524,2 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300179,115525,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300180,115526,240 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300181,115527,500 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300182,115528,1 TB,0.13,SSD,1024 MB,M.2-2280,M.2 (B+M)
300183,115529,480 GB,0.19,SSD,,M.2-2280,M.2 (M)
300184,115530,1 TB,0.26,SSD,,M.2-2280,M.2 (M)
300185,115531,250 GB,0.21,SSD,,M.2-2280,M.2 (B+M)
300186,115532,240 GB,0.22,SSD,,M.2-2280,M.2 (M)
300187,115533,512 GB,0.16,SSD,,M.2-2280,M.2 (M)
300188,115534,1 TB,0.05,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300189,115535,2 TB,1.57,SSD,,PCI-E,PCIe x4
300190,115536,240 GB,0.17,SSD,,2.5 in,SATA 6 Gb/s
300191,115537,500 GB,0.18,SSD,,M.2-2280,M.2 (M)
300192,115538,4 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300193,115539,8 TB,0.02,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300194,115540,2 TB,1.16,SSD,2048 MB,M.2-2280,M.2 (M)
300195,115541,250 GB,0.49,SSD,,2.5 in,SATA 6 Gb/s
300196,115542,5 TB,0.03,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300197,115543,1 TB,0.09,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300198,115544,240 GB,0.21,SSD,,M.2-2280,M.2 (B+M)
300199,115545,256 GB,0.19,SSD,,M.2-2280,M.2 (M)
300200,115546,4 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300201,115547,250 GB,0.17,SSD,,M.2-2280,M.2 (M)
300202,115548,1 TB,0.12,SSD,,M.2-2280,M.2 (M)
300203,115549,1 TB,0.14,SSD,,M.2-2280,M.2 (M)
300204,115550,256 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
300205,115551,512 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300206,115552,6 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300207,115553,250 GB,0.2,SSD,256 MB,2.5 in,SATA 6 Gb/s
300208,115554,16 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300209,115555,1 TB,0.1,SSD,,2.5 in,SATA 6 Gb/s
300210,115556,512 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300211,115557,480 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300212,115558,1 TB,0.12,SSD,,M.2-2280,M.2 (B+M)
300213,115559,240 GB,0.17,SSD,,2.5 in,SATA 6 Gb/s
300214,115560,500 GB,0.09,7200 RPM,16 MB,3.5 in,SATA 6 Gb/s
300215,115561,1 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
300216,115562,500 GB,0.32,SSD,,M.2-2280,M.2 (M)
300217,115563,240 GB,0.2,SSD,,2.5 in,SATA 6 Gb/s
300218,115564,960 GB,0.1,SSD,,2.5 in,SATA 6 Gb/s
300219,115565,4 TB,0.04,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300220,115566,2 TB,0.13,SSD,,M.2-2280,M.2 (M)
300221,115567,1 TB,0.05,Hybrid,64 MB,3.5 in,SATA 6 Gb/s
300222,115568,480 GB,0.14,SSD,,2.5 in,SATA 6 Gb/s
300223,115569,500 GB,0.27,SSD,,M.2-2280,M.2 (M)
300224,115570,2 TB,0.12,SSD,2048 MB,2.5 in,SATA 6 Gb/s
300225,115571,480 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300226,115572,10 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300227,115573,500 GB,,SSD,,2.5 in,SATA 6 Gb/s
300228,115574,500 GB,0.23,SSD,,M.2-2280,M.2 (M)
300229,115575,256 GB,0.19,SSD,,M.2-2280,M.2 (B+M)
300230,115576,2 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300231,115577,512 GB,0.14,SSD,,M.2-2280,M.2 (M)
300232,115578,128 GB,0.27,SSD,,2.5 in,SATA 6 Gb/s
300233,115579,2 TB,0.17,SSD,,M.2-2280,M.2 (M)
300234,115580,2 TB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300235,115581,960 GB,2.25,SSD,,2.5 in,SATA 6 Gb/s
300236,115582,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300237,115583,6 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300238,115584,250 GB,0.47,SSD,512 MB,M.2-2280,M.2 (M)
300239,115585,240 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
300240,115586,240 GB,0.23,SSD,,2.5 in,SATA 6 Gb/s
300241,115587,256 GB,0.16,SSD,,M.2-2280,M.2 (M)
300242,115588,3.2 TB,,SSD,,PCI-E,PCIe x8
300243,115589,960 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300244,115590,10 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
300245,115591,1 TB,0.15,SSD,,M.2-2280,M.2 (M)
300246,115592,256 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300247,115593,256 GB,0.19,SSD,,M.2-2280,M.2 (M)
300248,115594,480 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
