keyboard_id,product_id,style,switch_type,backlit,tenkeyless,connection_type,color
310101,119235,Gaming,,Multicolor,No,Wired,Black
310102,119236,Gaming,Cherry MX Red,Multicolor,No,Wired,Black
310103,119237,Gaming,Outemu Blue,Red,Yes,Wired,Black
310104,119238,Gaming,Cherry MX Speed Silver,Multicolor,No,Wired,Black
310105,119239,Gaming,Romer-G Tactile,Multicolor,Yes,Wired,Black
310106,119240,Gaming,,Multicolor,No,Wired,Black
310107,119241,Gaming,Cherry MX Speed Silver,Multicolor,No,Wired,White / Silver
310108,119242,Gaming,Razer Purple,Multicolor,No,Wired,Black
310109,119243,Gaming,Razer Green,Multicolor,No,Wired,Black
310110,119244,Standard,,No,No,Wired,Black
310111,119245,Gaming,,Multicolor,No,Wired,Black
310112,119246,Ergonomic,,No,No,Wired,Black
310113,119247,Gaming,Cherry MX Red,Red,Yes,Wired,Black
310114,119248,Gaming,Cherry MX Brown,Multicolor,No,Wired,Black
310115,119249,Standard,Cherry MX Brown,Multicolor,Yes,Wired,White / Black
310116,119250,Gaming,Outemu Blue,Multicolor,Yes,Wired,Black
310117,119251,Gaming,Razer Red Optical Linear,Multicolor,Yes,Wired,Black
310118,119252,Gaming,,Multicolor,No,Wired,Black
310119,119253,Standard,,No,No,Wired,Black
310120,119254,Gaming,OmniPoint Adjustable,Multicolor,No,Wired,Black
310121,119255,Gaming,,Multicolor,No,Wired,Black
310122,119256,Standard,Romer-G Tactile,No,No,Wireless,Black
310123,119257,Mini,,No,No,Bluetooth Wireless,Black / White
310124,119258,Gaming,Cherry MX Blue,Multicolor,No,Wired,Black
310125,119259,Gaming,Romer-G Tactile,Red,No,Wired,Black
310126,119260,Gaming,Cherry MX Red,White,No,Wired,Black
310127,119261,Gaming,Romer-G Linear,Multicolor,No,Wired,Black
310128,119262,Ergonomic,,No,No,Wireless,Black / Silver
310129,119263,Standard,Cherry MX Red,Multicolor,No,Wired,Black
310130,119264,Gaming,Logitech GL Tactile,Multicolor,No,Wireless,Black
310131,119265,Gaming,,Multicolor,No,Wired,Black
310132,119266,Gaming,Cherry MX Red,Red,No,Wired,Black
310133,119267,Gaming,Razer Purple,Multicolor,No,Wired,Black
310134,119268,Gaming,,Blue,No,Wired,Black
310135,119269,Gaming,Cherry MX Red,Multicolor,No,Wired,Black
310136,119270,Gaming,Cherry MX Red,Red,Yes,Wired,Black
310137,119271,Gaming,Cherry MX Blue,Red,Yes,Wired,Black
310138,119272,Gaming,Romer-G Tactile,Multicolor,No,Wired,Black
310139,119273,Gaming,Razer Green,Multicolor,No,Wired,Black
310140,119274,Slim,,No,No,Wired,Black
