monitor_id,product_id,screen_size,resolution,refresh_rate,response_time_(g2g),panel_type,aspect_ratio
325101,128649,24.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325102,128650,23.6  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325103,128651,21.5  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325104,128652,64.5  in,3840 x 2160,144 Hz,4 ms,VA,16:09
325105,128653,27.0  in,2560 x 1440,155 Hz,1 ms,TN,16:09
325106,128654,24.0  in,1920 x 1080,144 Hz,1 ms,,16:09
325107,128655,23.0  in,1920 x 1080,76 Hz,6 ms,IPS,16:09
325108,128656,24.5  in,1920 x 1080,165 Hz,1 ms,TN,16:09
325109,128657,27.0  in,3840 x 2160,144 Hz,4 ms,IPS,16:09
325110,128658,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325111,128659,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325112,128660,23.6  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325113,128661,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325114,128662,27.0  in,2560 x 1440,165 Hz,1 ms,IPS,16:09
325115,128663,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325116,128664,34.0  in,3440 x 1440,144 Hz,1 ms,IPS,21:09
325117,128665,23.6  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325118,128666,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325119,128667,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325120,128668,27.0  in,2560 x 1440,165 Hz,4 ms,IPS,16:09
325121,128669,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325122,128670,35.0  in,3440 x 1440,200 Hz,2 ms,VA,21:09
325123,128671,27.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325124,128672,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325125,128673,24.0  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325126,128674,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325127,128675,31.5  in,7680 x 4320,60 Hz,6 ms,IPS,16:09
325128,128676,49.0  in,5120 x 1440,120 Hz,4 ms,VA,32:09:00
325129,128677,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325130,128678,24.5  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325131,128679,23.8  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325132,128680,27.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325133,128681,20.0  in,1600 x 900,60 Hz,5 ms,TN,16:09
325134,128682,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325135,128683,27.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325136,128684,31.1  in,4096 x 2160,,9 ms,IPS,256:135
325137,128685,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325138,128686,23.6  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325139,128687,23.6  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325140,128688,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325141,128689,34.1  in,3440 x 1440,120 Hz,4 ms,IPS,21:09
325142,128690,65.0  in,3840 x 2160,144 Hz,4 ms,VA,16:09
325143,128691,21.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325144,128692,27.0  in,3840 x 2160,144 Hz,1 ms,IPS,16:09
325145,128693,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325146,128694,27.0  in,2560 x 1440,165 Hz,0.4 ms,TN,16:09
325147,128695,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325148,128696,27.0  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325149,128697,32.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325150,128698,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325151,128699,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325152,128700,49.0  in,3840 x 1080,144 Hz,1 ms,VA,32:09:00
325153,128701,27.0  in,1920 x 1080,144 Hz,1 ms,IPS,16:09
325154,128702,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
