motherboard_id,product_id,socket_per_cpu,form_factor,ram_slots,max_ram,color
330101,131417,AM4,ATX,4,64 GB,Black / Silver
330102,131418,AM4,ATX,4,64 GB,Black
330103,131419,AM4,ATX,4,64 GB,Black
330104,131420,AM4,Micro ATX,4,64 GB,Black / Silver
330105,131421,LGA1151,ATX,4,128 GB,Brown / Black
330106,131422,AM4,Micro ATX,4,64 GB,Black / Silver
330107,131423,AM4,ATX,4,128 GB,Black / Silver
330108,131424,AM4,Micro ATX,2,32 GB,Black / White
330109,131425,AM4,ATX,4,128 GB,Black / Gold
330110,131426,LGA1151,ATX,4,128 GB,Black
330111,131427,AM4,ATX,4,64 GB,Black
330112,131428,AM4,ATX,4,64 GB,Black / White
330113,131429,LGA1151,ATX,4,128 GB,Silver / Black
330114,131430,AM4,Micro ATX,2,32 GB,Black
330115,131431,AM4,Micro ATX,4,64 GB,Black / Gray
330116,131432,AM4,Mini ITX,2,64 GB,Black / Silver
330117,131433,AM4,ATX,4,128 GB,Black / Silver
330118,131434,AM4,Micro ATX,2,32 GB,Black / Red
330119,131435,AM4,Mini ITX,2,32 GB,Black / Silver
330120,131436,AM4,Mini ITX,2,32 GB,Black / Silver
330121,131437,AM4,ATX,4,64 GB,Red / Black
330122,131438,AM4,ATX,4,64 GB,Black / Silver
330123,131439,LGA1151,ATX,4,128 GB,Black / Silver
330124,131440,AM4,ATX,4,64 GB,Black
330125,131441,LGA1151,ATX,4,128 GB,Black
330126,131442,AM4,ATX,4,128 GB,Black / White
330127,131443,LGA1151,ATX,4,128 GB,Black / Silver
330128,131444,AM4,ATX,4,64 GB,Black / Silver
330129,131445,AM4,ATX,4,128 GB,Black / Silver
330130,131446,AM4,ATX,4,64 GB,Black / Silver
330131,131447,LGA1151,Micro ATX,4,64 GB,Black
330132,131448,AM4,Mini ITX,2,64 GB,Black
330133,131449,AM4,Micro ATX,2,32 GB,Black / White
330134,131450,AM4,ATX,4,128 GB,Black / Red
330135,131451,AM4,ATX,4,128 GB,Black / Silver
330136,131452,AM4,Mini ITX,2,32 GB,Black / Silver
330137,131453,AM4,ATX,4,128 GB,Black / Silver
330138,131454,AM4,ATX,4,64 GB,Red / Black
330139,131455,LGA1151,ATX,4,128 GB,Black / Silver
330140,131456,AM4,Micro ATX,4,64 GB,Black / White
330141,131457,AM4,ATX,4,128 GB,Black
330142,131458,AM4,Mini ITX,2,32 GB,Black / Red
330143,131459,AM4,Micro ATX,4,64 GB,Black / Silver
330144,131460,sTRX4,EATX,8,256 GB,Black
330145,131461,LGA1151,ATX,4,128 GB,Black / Silver
330146,131462,AM4,Micro ATX,2,32 GB,Black
330147,131463,AM4,ATX,4,128 GB,Black
330148,131464,AM4,Micro ATX,4,64 GB,Black / Silver
330149,131465,AM4,Micro ATX,4,128 GB,Black / Silver
330150,131466,AM4,Micro ATX,4,64 GB,Black
330151,131467,AM4,ATX,4,128 GB,Black / White
330152,131468,AM4,Micro ATX,2,32 GB,Black / White
330153,131469,AM4,ATX,4,128 GB,Black / Silver
