mouse_id,product_id,tracking_method,connection_type,maximum_dpi,hand_orientation,color
335101,134457,Optical,Wired,16000,Right,Black / Green
335102,134458,Optical,Wired,16000,Right,Black
335103,134459,Optical,Wired,12000,Right,Black
335104,134460,Optical,Wired,6000,Right,Black
335105,134461,Optical,Wireless,16000,Both,Black
335106,134462,Optical,Wireless,16000,Right,Black
335107,134463,Optical,Wired,6000,Right,Black
335108,134464,Optical,Wireless,20000,Right,Black
335109,134465,Optical,Wired,12000,Right,Black
335110,134466,Optical,Wired,12000,Right,Black
335111,134467,Optical,Wired,4000,Right,Black
335112,134468,Optical,Wired,6400,Right,Black / Orange
335113,134469,Optical,Wired,16000,Right,Black
335114,134470,Optical,Wired,12000,Right,Black
335115,134471,Optical,Wired,12000,Right,White
335116,134472,Optical,Wireless,12000,Right,Black
335117,134473,Optical,Wired,17997,Right,Black
335118,134474,Optical,Wired,10000,Right,Black / Multicolor
335119,134475,Optical,Wired,16000,Right,Black
335120,134476,Optical,Wired,12000,Right,Black
335121,134477,Optical,Wired,3200,Right,Blue
335122,134478,Optical,Wired,17995,Right,White
335123,134479,Optical,Wireless,18000,Right,Black
335124,134480,Optical,Wireless,16000,Right,Black
335125,134481,Trackball,Wireless,,Right,Black / Silver
335126,134482,Optical,Wired,7200,Right,Black
335127,134483,Optical,Wired,16000,Right,Black
335128,134484,Optical,Wireless,20000,Right,Black
335129,134485,Optical,Wireless,16000,Right,Black
335130,134486,Optical,Wired,10000,Right,Black
335131,134487,Optical,Wired,18000,Right,Black
335132,134488,Optical,Wired,16000,Both,Black / Green
335133,134489,Optical,Wired,12000,Right,Black
335134,134490,Laser,Wireless,4000,Right,Black
335135,134491,Optical,Wired,12000,Right,Black
335136,134492,Laser,Wireless,4000,Right,Black
335137,134493,Optical,Wireless,12000,Both,Black / Blue
335138,134494,Optical,Wireless,12000,Right,Black
335139,134495,Laser,Wireless,8200,Right,Black
335140,134496,Optical,Wired,2000,Right,Black / Red
335141,134497,Optical,Wireless,12000,Both,Black
335142,134498,Optical,Wireless,10000,Right,Black
335143,134499,Optical,Wireless,2500,Right,Black / Silver
335144,134500,Optical,Wired,16000,Right,Black / Green
335145,134501,Optical,Wired,12000,Right,Black
335146,134502,Optical,Wired,18000,Right,Black
335147,134503,Optical,Wired,12000,Right,Black
335148,134504,Optical,Wired,800,,Black
335149,134505,Optical,Wired,16000,Right,Black
335150,134506,Laser,Wired,8200,Right,Black
335151,134507,Laser,Wired,1800,Right,Black
335152,134508,Optical,Wired,12000,Right,Black / Orange
335153,134509,Optical,Wired,16000,Right,Black
335154,134510,Optical,Wireless,12000,Right,Black
335155,134511,Optical,Wired,16000,Right,Black
335156,134512,Optical,Wireless,16000,Both,Black
335157,134513,Optical,Wireless,16000,Right,Black / Green
335158,134514,Optical,Wired,10000,Right,Black
335159,134515,Optical,Wired,12000,Right,Black
335160,134516,Optical,Wired,12400,Both,Black
335161,134517,Optical,Wired,18000,Right,Black
335162,134518,Optical,Wired,12000,Both,Black
335163,134519,Optical,Wired,12000,Right,White
335164,134520,Optical,Wireless,16000,Right,Black
335165,134521,Optical,Wired,7200,Right,Black
335166,134522,Optical,Wireless,,Both,Black
335167,134523,Optical,Wired,12000,Right,White
335168,134524,Laser,Wired,16000,Right,Black
335169,134525,Optical,Wireless,12000,Right,White
335170,134526,Optical,Wired,12000,Right,Black
335171,134527,Laser,Wireless,16000,Right,Black
335172,134528,Laser,Wired,16000,Right,Black
335173,134529,Optical,Wired,16000,Both,Black / Green
335174,134530,Optical,Wired,16000,Right,Black / Yellow
335175,134531,Optical,Wireless,16000,Right,Black
335176,134532,Optical,Wired,16000,Right,Black / Blue
335177,134533,Optical,Wired,16000,Both,White / Gray
335178,134534,Optical,Wired,12000,Right,Black / Blue
335179,134535,Laser,Wired,16400,Right,Black / Red
335180,134536,Optical,Wireless,16000,Right,Black
335181,134537,Optical,Wireless,4000,Right,Black / Silver
335182,134538,Optical,Wired,24000,Right,Black
335183,134539,Optical,Wired,2000,Right,Black
335184,134540,Optical,Wired,6000,Right,White
335185,134541,Laser,Bluetooth Wireless,1600,Right,Brown / Black
335186,134542,Optical,Wired,1000,Both,Black
335187,134543,Optical,Wired,2500,Both,Black / Blue
335188,134544,Laser,Wireless,6400,Right,Black
335189,134545,Laser,Wired,24000,Right,Black
335190,134546,Optical,Wireless,12000,Right,Black
335191,134547,Optical,Wired,16000,Right,Black
335192,134548,Optical,Wired,3200,Right,Black
335193,134549,Optical,Wired,3200,Right,Black
335194,134550,Optical,Wired,3500,Right,Black
335195,134551,Optical,Wired,16000,Right,Black
335196,134552,Optical,Wired,5000,Right,Black
335197,134553,Optical,Wired,1600,Right,Black / Red
335198,134554,Optical,Wired,6400,Right,Black
335199,134555,Optical,Wired,16000,Right,Black
335200,134556,Optical,Wired,16000,Right,Pink
335201,134557,Optical,Wired,,Both,Black
335202,134558,Laser,Wireless,8200,Right,Black
335203,134559,Optical,Wired,18000,Right,Black
335204,134560,Laser,Wired,16400,Right,Black / Red
335205,134561,Laser,Wireless,,Right,Black
335206,134562,Trackball,Wireless,,Right,Black
335207,134563,Optical,Wired,16000,Right,White
335208,134564,Laser,Wireless,,Right,Black
335209,134565,Optical,Wireless,12000,Right,Black
335210,134566,Optical,Wired,16000,Right,Black
335211,134567,Trackball,Wired,,Both,Gray
335212,134568,Laser,Wireless,4000,Right,White
335213,134569,Optical,Wired,16000,Right,Black
335214,134570,Optical,Wired,3200,Both,Black / Yellow
335215,134571,Optical,Wired,16000,Right,Black
335216,134572,Optical,Wired,1000,Both,Black
335217,134573,Optical,Wired,12400,Both,White / Gray
335218,134574,Laser,Wired,8200,Right,Black / Green
335219,134575,Laser,Wireless,4000,Right,Silver
335220,134576,Optical,Wireless,1000,Right,Black
335221,134577,Optical,Wired,18000,Right,Black
335222,134578,Laser,Wired,5700,Right,Black
335223,134579,Optical,Wired,6200,Right,Silver
335224,134580,Laser,Wired,8200,Right,Black / Blue
335225,134581,Optical,Wired,6400,Right,Black
335226,134582,Laser,Wired,2000,Right,Black
335227,134583,Optical,Wired,12000,Right,Black
335228,134584,Laser,Wired,8200,Right,Black / Silver
335229,134585,Laser,Bluetooth Wireless,,,White
335230,134586,Optical,Wireless,16000,Right,Black / Green
335231,134587,Optical,Wired,12000,Right,Black
335232,134588,Laser,Wired,8200,Both,Black
335233,134589,Optical,Wired,7200,Both,Black
335234,134590,Optical,Wired,16000,Right,Black
335235,134591,Optical,Wired,16000,Right,Black
335236,134592,Optical,Wired,3200,Right,Black
335237,134593,Optical,Wired,7200,Right,Black
335238,134594,Optical,Wired,6400,Right,Black
335239,134595,Optical,Wired,1000,,Black
335240,134596,Laser,Wired,16400,Right,Black
335241,134597,Optical,Wired,12000,Right,White
335242,134598,Optical,Wireless,12000,Right,White
335243,134599,Optical,Wired,,Both,Black
335244,134600,Optical,Wired,2000,Right,Black
335245,134601,Optical,Wired,6000,Right,Black
335246,134602,Optical,Wireless,16000,Both,Black
335247,134603,Optical,Wireless,7200,Right,Black
335248,134604,Optical,Bluetooth Wireless,1000,Right,Black
335249,134605,Optical,Wired,4000,Right,Black / Blue
335250,134606,Optical,Wired,16000,Right,Black
335251,134607,Optical,Wired,16000,Right,Black
335252,134608,Laser,Wireless,16000,Both,Black / Green
335253,134609,Laser,Wired,16400,Right,Black / Red
335254,134610,Optical,Wired,6500,Right,Black
335255,134611,Optical,Wired,10800,Right,Black
335256,134612,Optical,Wired,12000,Right,White
335257,134613,Laser,Wired,8200,Both,Black
335258,134614,Optical,Wireless,4000,Right,Gray / Silver
335259,134615,Optical,Wired,12000,Right,Black
335260,134616,Optical,Wireless,7200,Right,White
335261,134617,Optical,Wireless,,Both,Gray
335262,134618,Optical,Wired,1600,Right,White
335263,134619,Optical,Wired,16000,Both,Pink
335264,134620,Optical,Wireless,,Both,Gray
335265,134621,Optical,Wired,1000,Both,Silver / Black
335266,134622,Laser,Wired,1000,Right,Black
335267,134623,Laser,Wired,16000,Right,Black / Green
335268,134624,Optical,Wired,3000,Right,Black
