os_id,product_id,type,mode,maximum_supported_memory
345101,136622,Windows,64-bit,128 GB
345102,136623,Windows,64-bit,2048 GB
345103,136624,Windows,32/64-bit,2048 GB
345104,136625,Windows,64-bit,128 GB
345105,136626,Windows,32/64-bit,2048 GB
345106,136627,Windows,32/64-bit,128 GB
345107,136628,Windows,32/64-bit,192 GB
345108,136629,Windows,32/64-bit,2048 GB
345109,136630,Windows,32-bit,4 GB
345110,136631,Windows,32/64-bit,128 GB
345111,136632,Windows,64-bit,2048 GB
345112,136633,Windows,32/64-bit,2048 GB
345113,136634,Windows,32/64-bit,128 GB
345114,136635,Windows,32/64-bit,16 GB
345115,136636,Windows,64-bit,128 GB
345116,136637,Windows,32/64-bit,128 GB
345117,136638,Windows,32-bit,4 GB
345118,136639,Windows,64-bit,128 GB
345119,136640,Windows,64-bit,16 GB
345120,136641,Windows,64-bit,192 GB
345121,136642,Windows,64-bit,192 GB
345122,136643,Windows,32-bit,4 GB
345123,136644,Windows,64-bit,512 GB
345124,136645,Windows,32-bit,4 GB
345125,136646,Windows,64-bit,512 GB
345126,136647,Windows,32/64-bit,192 GB
345127,136648,Windows,32-bit,4 GB
345128,136649,Windows,64-bit,192 GB
345129,136650,Windows,64-bit,128 GB
345130,136651,Windows,32/64-bit,128 GB
345131,136652,Windows,32/64-bit,512 GB
345132,136653,Windows,32-bit,4 GB
345133,136654,Windows,64-bit,192 GB
345134,136655,Windows,64-bit,512 GB
345135,136656,Windows,32-bit,4 GB
345136,136657,Windows,64-bit,192 GB
345137,136658,Windows,64-bit,16 GB
345138,136659,Windows,32-bit,4 GB
345139,136660,Windows,64-bit,128 GB
345140,136661,Windows,32-bit,4 GB
345141,136662,Windows,64-bit,192 GB
345142,136663,Windows,64-bit,128 GB
345143,136664,Windows,64-bit,512 GB
345144,136665,Windows,64-bit,192 GB
345145,136666,Windows,64-bit,16 GB
345146,136667,Windows,64-bit,128 GB
345147,136668,Windows,32-bit,4 GB
345148,136669,Windows,32-bit,4 GB
345149,136670,Windows,32-bit,4 GB
345150,136671,Windows,32-bit,4 GB
345151,136672,Windows,32-bit,4 GB
345152,136673,Windows,32-bit,4 GB
345153,136674,Windows,64-bit,512 GB
345154,136675,Windows,32-bit,4 GB
345155,136676,Windows,32-bit,4 GB
345156,136677,Windows,64-bit,512 GB
