case_id,product_id,type,color,power_supply,side_panel_window,external_bays,internal_bays
255101,105101,ATX Mid Tower,White,None,Tempered Glass,0,2
255102,105102,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255103,105103,ATX Mid Tower,Black,None,Tempered Glass,0,2
255104,105104,MicroATX Mini Tower,Black,None,Acrylic,0,1
255105,105105,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255106,105106,ATX Mid Tower,Black,None,Tempered Glass,0,3
255107,105107,ATX Mid Tower,Black,None,Acrylic,2,2
255108,105108,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255109,105109,ATX Mid Tower,White / Black,None,Tempered Glass,0,2
255110,105110,ATX Mid Tower,Black,None,None,3,4
255111,105111,ATX Full Tower,Black,None,Tempered Glass,0,2
255112,105112,ATX Mid Tower,Black,None,Tempered Glass,0,2
255113,105113,ATX Mid Tower,White / Black,None,Tempered Glass,0,2
255114,105114,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255115,105115,MicroATX Mini Tower,Black,None,None,2,2
255116,105116,ATX Mid Tower,White,None,Tempered Glass,0,2
255117,105117,ATX Mid Tower,Black,None,Acrylic,1,2
255118,105118,ATX Mid Tower,Black,None,Acrylic,0,2
255119,105119,ATX Mid Tower,Black,None,Tempered Glass,0,2
255120,105120,MicroATX Mini Tower,Black,None,Tempered Glass,1,3
255121,105121,ATX Full Tower,White,None,Tempered Glass,0,2
255122,105122,MicroATX Mini Tower,Black,None,Acrylic,1,1
255123,105123,ATX Mid Tower,Black,None,Tempered Glass,0,2
255124,105124,ATX Mid Tower,Black,None,Acrylic,0,2
255125,105125,Mini ITX Tower,Black,None,Tempered Glass,0,1
255126,105126,ATX Mid Tower,Black,None,Acrylic,0,2
255127,105127,ATX Mid Tower,Black,None,Tempered Glass,0,2
255128,105128,ATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255129,105129,ATX Mid Tower,Black,None,Tempered Glass,0,2
255130,105130,MicroATX Mini Tower,Black,None,None,1,3
255131,105131,ATX Mid Tower,Black,None,Tempered Glass,0,2
255132,105132,ATX Mid Tower,White,None,Acrylic,2,2
255133,105133,ATX Mid Tower,Black,None,Tempered Glass,0,2
255134,105134,ATX Mid Tower,Black,None,Tempered Glass,0,2
255135,105135,ATX Mid Tower,Black,None,Tempered Glass,0,3
255136,105136,MicroATX Mini Tower,Black,None,Acrylic,0,3
255137,105137,ATX Full Tower,Black,None,Tempered Glass,0,5
255138,105138,ATX Full Tower,Black,None,Acrylic,3,6
255139,105139,HTPC,Black,None,None,0,0
255140,105140,MicroATX Mini Tower,Black,None,None,0,2
255141,105141,MicroATX Mini Tower,Black,None,Acrylic,2,2
255142,105142,ATX Full Tower,Black,None,Acrylic,3,6
255143,105143,ATX Mid Tower,Black,None,Tempered Glass,0,2
255144,105144,ATX Mid Tower,White,None,Tempered Glass,0,4
255145,105145,ATX Mid Tower,Black,None,Tempered Glass,0,3
255146,105146,ATX Mid Tower,Black,None,Tempered Glass,0,2
255147,105147,MicroATX Mid Tower,Black,None,None,1,3
255148,105148,Mini ITX Tower,White,None,Tempered Glass,0,1
255149,105149,ATX Mid Tower,Black,None,Tempered Glass,0,2
255150,105150,ATX Mid Tower,Black,None,Tempered Glass,0,2
255151,105151,ATX Full Tower,Black / Silver,None,Tempered Glass,0,8
255152,105152,ATX Full Tower,Black,None,Tempered Glass,0,2
255153,105153,ATX Mid Tower,White,None,Tempered Glass,0,2
255154,105154,ATX Mid Tower,Black,None,Tinted Tempered Glass,1,8
255155,105155,ATX Full Tower,Black,None,Tempered Glass,0,2
255156,105156,ATX Mid Tower,Black,None,Acrylic,2,4
255157,105157,ATX Full Tower,Black,None,Tinted Tempered Glass,1,6
255158,105158,ATX Mid Tower,Black / Red,None,Acrylic,1,2
255159,105159,MicroATX Mini Tower,Black,None,None,1,2
255160,105160,MicroATX Mini Tower,Black,None,Tinted Tempered Glass,0,2
255161,105161,ATX Mid Tower,White,None,Acrylic,0,2
255162,105162,ATX Mid Tower,Black,None,Acrylic,1,3
255163,105163,ATX Mid Tower,,None,Tinted Tempered Glass,0,2
255164,105164,Mini ITX Desktop,Black,None,None,0,2
255165,105165,Mini ITX Tower,Black / White,None,None,0,6
255166,105166,ATX Mid Tower,Black,None,Tempered Glass,0,2
255167,105167,ATX Mid Tower,Black,None,Tempered Glass,0,2
255168,105168,ATX Mid Tower,Black,None,Tempered Glass,0,2
255169,105169,Mini ITX Tower,White,None,Tempered Glass,0,1
255170,105170,ATX Mid Tower,Black,None,Tempered Glass,1,2
255171,105171,ATX Mid Tower,Black,None,None,0,2
255172,105172,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255173,105173,ATX Mid Tower,Black,None,Tempered Glass,0,2
255174,105174,MicroATX Mini Tower,Black,None,Tempered Glass,0,2
