power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
350101,136678,ATX,80+ Gold,750 W,Full,Black
350102,136679,ATX,80+ Bronze,550 W,Semi,
350103,136680,ATX,80+ Gold,650 W,Full,Black / Silver
350104,136681,ATX,80+ Bronze,500 W,No,
350105,136682,ATX,80+ Bronze,650 W,Semi,
350106,136683,ATX,80+ Gold,750 W,Full,
350107,136684,ATX,80+ Bronze,600 W,Semi,
350108,136685,ATX,80+ Gold,850 W,Full,Black
350109,136686,ATX,80+ Bronze,450 W,Semi,
350110,136687,ATX,80+ Gold,650 W,Full,
350111,136688,ATX,80+ Gold,550 W,Full,
350112,136689,ATX,80+ Gold,650 W,Full,Black
350113,136690,ATX,80+ Titanium,1600 W,Full,
350114,136691,ATX,80+ Gold,550 W,Semi,
350115,136692,ATX,80+ Gold,850 W,Full,Black
350116,136693,ATX,80+,500 W,No,
350117,136694,ATX,80+ Gold,750 W,Full,Black
350118,136695,ATX,80+ Bronze,600 W,No,
350119,136696,ATX,80+ Bronze,450 W,No,
350120,136697,ATX,80+ Gold,650 W,Semi,
350121,136698,ATX,80+ Bronze,750 W,Semi,
350122,136699,ATX,80+ Gold,650 W,Semi,
350123,136700,ATX,80+,550 W,No,
350124,136701,ATX,80+ Bronze,550 W,No,
350125,136702,SFX,80+ Platinum,600 W,Full,Black
350126,136703,ATX,80+,500 W,No,
350127,136704,ATX,80+ Platinum,1000 W,Full,
350128,136705,ATX,,400 W,No,
350129,136706,ATX,80+ Platinum,1200 W,Full,Black
350130,136707,ATX,80+ Bronze,520 W,Full,
350131,136708,ATX,80+,600 W,No,
350132,136709,ATX,80+ Gold,850 W,Full,
350133,136710,ATX,80+ Bronze,450 W,No,
350134,136711,ATX,80+ Bronze,500 W,Semi,
350135,136712,SFX,80+ Platinum,750 W,Full,
350136,136713,ATX,80+ Gold,750 W,Full,White / Black
350137,136714,ATX,80+ Gold,600 W,No,Black
350138,136715,ATX,80+ Gold,550 W,Full,Black / Silver
350139,136716,ATX,80+ Gold,500 W,No,Black
350140,136717,ATX,80+,650 W,No,
350141,136718,SFX,80+ Gold,550 W,Full,Black
350142,136719,ATX,80+ Gold,650 W,Full,Black
