product_id,category_id,product_name,product_price
105101,100101,NZXT H510,77.88
105102,100101,Phanteks P300,54.99
105103,100101,NZXT H510,78.58
105104,100101,Cooler Master MasterBox Q300L,47.39
105105,100101,Fractal Design Meshify C,118.68
105106,100101,NZXT H500,
105107,100101,Fractal Design Focus G,74.07
105108,100101,Cooler Master MasterCase H500,126.59
105109,100101,Fractal Design Meshify C,106.28
105110,100101,Corsair 200R,84.98
105111,100101,Lian Li PC-O11 Dynamic,149.7
105112,100101,Corsair SPEC-DELTA RGB,88.99
105113,100101,NZXT H510 Elite,153.09
105114,100101,Phanteks ECLIPSE P350X,81.68
105115,100101,Rosewill RANGER-M,44.69
105116,100101,NZXT H510i,112.39
105117,100101,Cougar MX330,46.3
105118,100101,Aerocool Cylon,56.39
105119,100101,Corsair Obsidian 500D RGB SE,329.68
105120,100101,Deepcool MATREXX 30,40.68
105121,100101,Lian Li PC-O11 Dynamic,154.49
105122,100101,Rosewill FBM-X1,37.79
105123,100101,Phanteks Eclipse P400A Digital,106.68
105124,100101,Corsair Carbide Series 275R,68.08
105125,100101,NZXT H210,95.79
105126,100101,Corsair SPEC-05,74.57
105127,100101,Cooler Master MasterBox Pro 5 RGB,107.29
105128,100101,NZXT H510,80.38
105129,100101,NZXT H510 Elite,166.49
105130,100101,Rosewill SCM-01,37.39
105131,100101,Thermaltake V200 RGB,80.28
105132,100101,Fractal Design Focus G,50.49
105133,100101,Fractal Design Meshify C,113.48
105134,100101,Corsair iCUE 220T RGB Airflow,94.89
105135,100101,Corsair Crystal Series 680X RGB,303.99
105136,100101,Thermaltake Core V21,72.9
105137,100101,Corsair 1000D,529.39
105138,100101,Corsair 750D,139.99
105139,100101,Fractal Design Node 202,80.98
105140,100101,Thermaltake Versa H17,53.59
105141,100101,Fractal Design Focus G Mini,67.58
105142,100101,Phanteks Enthoo Pro,112.59
105143,100101,Cooler Master MasterBox MB511 RGB,105.09
105144,100101,NZXT H710i,177.09
105145,100101,Rosewill CULLINAN,79.98
105146,100101,Corsair Crystal 570X RGB,192.27
105147,100101,Thermaltake Versa H15,49.09
105148,100101,NZXT H210,86.78
105149,100101,NZXT H510i,102.99
105150,100101,Phanteks Eclipse P400A,81.98
105151,100101,Thermaltake Level 20,1059.08
105152,100101,Lian Li PC-O11 Dynamic Razer,181.19
105153,100101,Corsair iCUE 220T RGB Airflow,110.4
105154,100101,Phanteks Enthoo Pro M TG,106.08
105155,100101,Asus ROG Strix Helios,327.49
105156,100101,Corsair 100R,65.89
105157,100101,Phanteks Enthoo Elite,995.28
105158,100101,Cooler Master MB600L ODD,59.39
105159,100101,Rosewill SRM-01,35.09
105160,100101,Fractal Design Meshify C Mini,97.59
105161,100101,Corsair Carbide Series 275R,71.18
105162,100101,Thermaltake Versa N21,68.69
105163,100101,Phanteks P300,54.6
105164,100101,Thermaltake Core V1,59.99
105165,100101,Fractal Design Node 304,106.19
105166,100101,Cooler Master MasterCase H500M,247.75
105167,100101,Corsair iCUE 465X RGB,176.1
105168,100101,Deepcool MATREXX 55,65.78
105169,100101,NZXT H210i,127.49
105170,100101,Cougar MX330-G,58.79
105171,100101,Fractal Design Meshify C,110.98
105172,100101,Phanteks Eclipse P400,90.58
105173,100101,Cooler Master MasterBox MB520 RGB,98.49
105174,100101,Thermaltake Versa H18,61.89
105175,100101,Cooler Master MasterBox Lite 3.1,51.86
105176,100101,Corsair Crystal Series 680X RGB,307.68
105177,100101,Cooler Master MasterBox NR400 (w/ODD),65.98
105178,100101,Lian Li O11D XL-W,226.49
105179,100101,Rosewill TYRFING,53.69
105180,100101,Lian Li O11D XL-X,226.09
105181,100101,Lian Li TU150,125.09
105182,100101,Cooler Master MasterBox NR600 (w/o ODD),75.88
105183,100101,HEC HX300,46.88
105184,100101,Silverstone SG13,66.99
105185,100101,Deepcool MATREXX 50 ADD-RGB 4F,78.48
105186,100101,Corsair SPEC-OMEGA RGB,158.19
105187,100101,Cooler Master Elite 110,60.28
105188,100101,Rosewill CHALLENGER,47.49
105189,100101,NZXT H710,171.89
105190,100101,NZXT H500i,206.06
105191,100101,Phanteks Eclipse P400A Digital,105.38
105192,100101,Corsair Crystal 280X RGB,171.49
105193,100101,Antec P8,46.19
105194,100101,Deepcool TESSERACT BF,56.18
105195,100101,Phanteks Evolv X,205.89
105196,100101,Thermaltake View 71 TG RGB,218.29
105197,100101,Fractal Design Define R5 (Black),150.09
105198,100101,Cooler Master Elite 130,87.08
105199,100101,Thermaltake Versa H22,54.57
105200,100101,Corsair Carbide 175R RGB,73.08
105201,100101,Corsair 760T Black,191.33
105202,100101,Fractal Design Meshify S2,170.99
105203,100101,Corsair Air 540,170.87
105204,100101,Phanteks Evolv Shift Air,108.38
105205,100101,Cooler Master MasterBox Q500L,62.09
105206,100101,Anidees AI Crystal XL AR 3,328.99
105207,100101,CiT F3,31.88
105208,100101,NZXT H200,92.29
105209,100101,NZXT H210i,121.79
105210,100101,Lian Li TU150,121.69
105211,100101,NCASE M1,
105212,100101,Cooler Master N200,52.89
105213,100101,NZXT H710i,199.58
105214,100101,Fractal Design Define Mini C,78.08
105215,100101,Thermaltake Core G21 Tempered Glass Edition,93.98
105216,100101,Corsair Crystal 570X RGB,178.39
105217,100101,Lian Li LANCOOL II-X,
105218,100101,Corsair Carbide Series 275R,70.87
105219,100101,Corsair iCUE 465X RGB,186
105220,100101,Cooler Master MasterBox MB510L,62.58
105221,100101,Fractal Design Define Mini C TG,104.98
105222,100101,Phanteks Eclipse P400S,103.89
105223,100101,Corsair 275R Airflow,103.69
105224,100101,Cooler Master MasterBox Lite 5,69.64
105225,100101,Fractal Design Define R6 USB-C,148.29
105226,100101,Fractal Design Define Nano S,71.18
105227,100101,Fractal Design Design Define R6 USB-C Blackout,163.33
105228,100101,be quiet! Dark Base Pro 900 Rev. 2,
105229,100101,Corsair SPEC-OMEGA RGB,177.48
105230,100101,Deepcool MATREXX 55,50.89
105231,100101,Deepcool Dukase,
105232,100101,Corsair 275R Airflow,101.99
105233,100101,GameMax Centauri,140.77
105234,100101,Fractal Design Node 202,168.68
105235,100101,Corsair Crystal 280X RGB,162.52
105236,100101,Corsair SPEC-06,103.59
105237,100101,Phanteks Enthoo Pro Tempered Glass,131.19
105238,100101,Rosewill PRISM S LITE,70.48
105239,100101,Corsair iCUE 220T RGB,100.99
105240,100101,Cooler Master MasterCase H500P Mesh,184.59
105241,100101,HEC HX210,
105242,100101,Thermaltake Level 20 MT,94.39
105243,100101,NZXT H500,
105244,100101,Cooler Master MasterBox MB530P,137.79
105245,100101,DIYPC MA08-BK,39.04
105246,100101,NZXT H710,163.89
105247,100101,Cougar MX330-X,
105248,100101,Thermaltake Versa H21,42.58
105249,100101,NZXT H500i,226.18
105250,100101,Corsair Crystal 460X RGB,177.09
105251,100101,Fractal Design Define C,109.33
105252,100101,Thermaltake View 91,477.49
105253,100101,In Win A1 Plus,210
105254,100101,Corsair Carbide Series 275R,59.49
105255,100101,Cooler Master MasterBox Lite 3.1,67.05
105256,100101,DIYPC Jax11-W,38.96
105257,100101,Corsair 110R,74.48
105258,100101,Deepcool MATREXX 50,54.59
105259,100101,Fractal Design Core 500,66.3
105260,100101,Asus TUF Gaming GT501,151.49
105261,100101,Phanteks ECLIPSE P350X,64.39
105262,100101,be quiet! Dark Base 700,216.76
105263,100101,NZXT H700i,248.19
105264,100101,Corsair SPEC-01 RED,153.21
105265,100101,Fractal Design Focus G,53.6
105266,100101,Fractal Design Define Nano S,81.98
105267,100101,Deepcool E-Shield,
105268,100101,Corsair Carbide Series 88R,55.29
105269,100101,Corsair 750D,168.01
105270,100101,Phanteks Enthoo 719,203.39
105271,100101,Aerocool Bolt,
105272,100101,Rosewill RISE Glow,101.07
105273,100101,Corsair Crystal 280X,138.28
105274,100101,be quiet! Dark Base Pro 900 Rev. 2,302.9
105275,100101,Cooler Master MasterBox Lite 5 RGB,82.68
105276,100101,Fractal Design Core 1000 USB 3.0,56.58
105277,100101,Phanteks ECLIPSE P600S,165.69
105278,100101,Cooler Master COSMOS C700P,831.83
105279,100101,NZXT H510i,117.09
105280,100101,Rosewill NIGHTHAWK 117,80.89
105281,100101,Phanteks Eclipse P360X,84.48
105282,100101,Corsair SPEC-06,112.58
105283,100101,Phanteks Eclipse P400S,97.59
105284,100101,Thermaltake Core P3 TG Snow Edition,141.59
105285,100101,Thermaltake Core V1,71.38
105286,100101,Phanteks ENTHOO EVOLV SHIFT,112.18
105287,100101,Rosewill FBM-01,39.39
105288,100101,Phanteks ENTHOO EVOLV SHIFT,122.28
105289,100101,Antec VSK10 Window,50.59
105290,100101,Cooler Master HAF XB EVO,118.49
105291,100101,NZXT S340 Elite,
105292,100101,Thermaltake Core P3,131.08
105293,100101,Corsair Crystal 280X,122.79
105294,100101,Cougar MX340,58.49
105295,100101,NZXT H210,90.48
105296,100101,NZXT H700,147.48
105297,100101,In Win A1 Plus,211.5
105298,100101,Corsair SPEC-04,65.29
105299,100101,Fractal Design Meshify S2,173.88
105300,100101,Silverstone RVZ03,127.34
105301,100101,be quiet! Pure Base 600,109.6
105302,100101,Metallic Gear Neo Silent,45.99
105303,100101,NZXT H500,153.26
105304,100101,Fractal Design Meshify S2,168.09
105305,100101,Phanteks P300,62.28
105306,100101,In Win Chopin,114.09
105307,100101,Thermaltake H200 TG RGB,90.88
105308,100101,GameMax California,41.24
105309,100101,Cooler Master MasterBox TD500,97.17
105310,100101,Fractal Design Define XL R2 (Black Pearl),174.98
105311,100101,In Win 101,70.78
105312,100101,Fractal Design Node 804,137.88
105313,100101,NZXT S340,
105314,100101,Corsair 760T White,367.72
105315,100101,be quiet! Pure Base 500,106.17
105316,100101,NZXT H710i,180.99
105317,100101,Rosewill CHALLENGER S,60.79
105318,100101,Aerocool Bolt,60.69
105319,100101,NZXT H700i,208.68
105320,100101,Aerocool Shard,48.16
105321,100101,Cooler Master MasterBox MB500,83.78
105322,100101,RIOTORO CR488,61.89
105323,100101,Corsair 780T,214.09
105324,100101,DAN Cases A4-SFXv4,
105325,100101,Silverstone SG13,60.99
105326,100101,Phanteks Evolv X,216.09
105327,100101,Fractal Design Define C TG,93.99
105328,100101,Lian Li LANCOOL ONE Digital,157.22
105329,100101,Antec NX400,74.36
105330,100101,Cooler Master MasterCase H100,82.08
105331,100101,be quiet! Pure Base 500,85.29
105332,100101,Phanteks ECLIPSE P600S,163.09
105333,100101,Thermaltake Versa H18,220.74
105334,100101,Deepcool TESSERACT BF,
105335,100101,Rosewill THOR V2,130.79
105336,100101,Phanteks Eclipse P400,83.68
105337,100101,Corsair 780T,196.19
105338,100101,Phanteks P300,70.79
105339,100101,Rosewill SPECTRA C100,88.08
105340,100101,Silverstone GD09B,94.99
105341,100101,Cooler Master MasterBox MB511,59.68
105342,100101,Phanteks ECLIPSE P600S,183.38
105343,100101,Fractal Design Define R6 USB-C Blackout,178.59
105344,100101,Metallic Gear Neo Air,55.59
105345,100101,Thermaltake Core P1,122.19
105346,100101,Phanteks Enthoo EVOLV ITX TG,
105347,100101,Thermaltake Tower 900,264
105348,100101,Cooler Master MasterCase H500P Mesh,291.39
105349,100101,Thermaltake Versa J24,51.58
105350,100101,Deepcool MATREXX 55,86.09
105351,100101,Corsair 500D Premium,186.69
105352,100101,Thermaltake Level 20 VT,103.49
105353,100101,Cooler Master MasterBox K500,72.98
105354,100101,DIYPC DIY-BG01,47.15
105355,100101,Thermaltake H200 TG Snow RGB,91.68
105356,100101,Rosewill NAUTILUS,
105357,100101,Fractal Design Focus G,73.28
105358,100101,Phanteks PH-ES614PC_BK,87.7
105359,100101,Corsair SPEC-06,65.48
105360,100101,Lian Li LANCOOL II-W,
105361,100101,Corsair 100R,81.87
105362,100101,Corsair SPEC-02,
105363,100101,Cooler Master Cosmos C700P Black Edition,359.72
105364,100101,Rosewill CULLINAN MX,114.29
105365,100101,darkFlash DLM 22,
105366,100101,BitFenix Nova,
105367,100101,Thermaltake Tower 900 Snow Edition,316.18
105368,100101,Phanteks Eclipse P400S,104.19
105369,100101,Phanteks Evolv X,253.39
105370,100101,NZXT S340,
105371,100101,Cougar Conquer,290.49
105372,100101,Antec VSK10,52.99
105373,100101,NZXT H500,
105374,100101,NZXT H200i,
105375,100101,Cooler Master MasterBox NR400 (w/o ODD),
105376,100101,In Win D-Frame 2.0,1241.04
