product_id,category_id,name
110480,100104,Ryzen 5 3600
110481,100104,Ryzen 5 2600
110482,100104,Ryzen 7 2700X
110483,100104,Ryzen 7 3700X
110484,100104,Core i7 9700K
110485,100104,Ryzen 5 3600X
110486,100104,Ryzen 9 3900X
110487,100104,Core i5 9600K
110488,100104,Core i9 9900K
110489,100104,Ryzen 5 2600X
110490,100104,Ryzen 3 2200G
110491,100104,Ryzen 7 3800X
110492,100104,Ryzen 9 3950X
110493,100104,Ryzen 7 2700
110494,100104,Core i5 9400F
110495,100104,Ryzen 3 3200G
110496,100104,Ryzen 5 3400G
110497,100104,Core i9 9900KS
110498,100104,Threadripper 3970X 
110499,100104,Ryzen 3 1200
110500,100104,Core i3 9100F
110501,100104,Core i7 8700K
110502,100104,Ryzen 5 1600
110503,100104,Athlon 3000G 
110504,100104,Core i7 6700K
110505,100104,Ryzen 5 1500X
110506,100104,Ryzen 5 2400G
110507,100104,Core i7 7700K
110508,100104,Xeon E5 2699
110509,100104,Core i7 8700
110510,100104,Core i5 9400
110511,100104,Core i5 9600KF
110512,100104,Core i7 9700
110513,100104,Core i5 8400
110514,100104,Threadripper 3960X 
110515,100104,Core i5 6600K
110516,100104,Threadripper 1920X 
110517,100104,Core i9 9900KF
110518,100104,Core i7 9700KF
110519,100104,Core i3 8100
110520,100104,Core i9 10980XE
110521,100104,Core i7 9700F
110522,100104,Core i7 7700
110523,100104,Athlon 200GE 
110524,100104,Core i5 8600K
110525,100104,Core i7 4790K
110526,100104,FX 8350 
110527,100104,Core i5 7400
110528,100104,Ryzen 7 1700X
110529,100104,Core i3 9100
110530,100104,Pentium Gold G5400
110531,100104,Core i5 4690K
110532,100104,Ryzen 5 1600X
110533,100104,A4 3300 
110534,100104,Ryzen 7 1700
110535,100104,Threadripper 2950X 
110536,100104,FX 6300 
110537,100104,Core i9 9980XE
110538,100104,Core i7 3770
110539,100104,Core i5 7600K
110540,100104,Core i9 9900
110541,100104,Core i9 10900X
110542,100104,Core i5 6500
110543,100104,Threadripper 1900X 
110544,100104,Core i5 3470
110545,100104,Core i5 6400
110546,100104,Ryzen 5 1400
110547,100104,Threadripper 2990WX 
110548,100104,Core i7 6700
110549,100104,Core i5 7500
110550,100104,Core i7 4790
110551,100104,A6 9500 
110552,100104,Threadripper 1950X 
110553,100104,Core i3 6100
110554,100104,Core i5 2400
110555,100104,Core i5 4570
110556,100104,Ryzen 3 1300X
110557,100104,Core i7 4770K
110558,100104,Core i5 9600KF
110559,100104,Ryzen 7 1800X
110560,100104,Core i5 3570K
110561,100104,Core i7 3770K
110562,100104,FX 9590 
110563,100104,Core i7 2600
110564,100104,Ryzen 5 3500X
110565,100104,FX 8320 
110566,100104,Pentium G4560 
110567,100104,Core i7 4770
110568,100104,Core i5 4670K
110569,100104,Core i7 4790K
110570,100104,Core i5 2500K
110571,100104,Threadripper 2920X 
110572,100104,Core i9 10920X
110573,100104,Core i3 7100
110574,100104,Core i7 5820K
110575,100104,Core i5 6600
110576,100104,Core i9 9980XE
110577,100104,Threadripper 2970WX 
110578,100104,Core i5 4460S
110579,100104,Core i9 9900X
110580,100104,Xeon E5 2650
110581,100104,Ryzen 5 3500
110582,100104,Core i7 8086K
110583,100104,Core i7 9800X
110584,100104,Core i7 2600K
110585,100104,FX 4300 
110586,100104,Ryzen 5 2400G
110587,100104,Core i5 9600
110588,100104,Athlon X4 950
110589,100104,Celeron G4900 
110590,100104,A8 9600 
110591,100104,Core i5 7600
110592,100104,Core i3 8350K
110593,100104,Core i9 9900K
110594,100104,Core i5 8500
110595,100104,Core i5 3570
110596,100104,Core i5 4440
110597,100104,Core i9 9820X
110598,100104,Xeon E5 2687W
110599,100104,Core i9 10940X
110600,100104,Celeron G3930 
110601,100104,Core i5 8600
110602,100104,Core i7 6800K
110603,100104,Core i3 9350KF
110604,100104,Core i7 4770K
110605,100104,Core i5 2320
110606,100104,Athlon II X2
110607,100104,Core 2 Quad
110608,100104,2650  
110609,100104,Xeon E5 2698
110610,100104,Celeron G3930T 
110611,100104,Pentium G4400 
110612,100104,FX 6350 
110613,100104,Core i7 9700K
110614,100104,Core i5 9500
110615,100104,FX 6300 
110616,100104,Core i5 8400
110617,100104,Core i3 3240
110618,100104,Core i5 4690
110619,100104,Pentium G640 
110620,100104,Core i5 4460
110621,100104,Athlon 220GE 
110622,100104,A10 9700 
110623,100104,A6 6400K 
110624,100104,Core i7 8700K
110625,100104,Core i5 2500
110626,100104,Ryzen 9 3900X
110627,100104,Ryzen 7 1800X
110628,100104,Ryzen 3 2200G
110629,100104,Core i9 9960X
110630,100104,Celeron G3900 
110631,100104,Core i7 2700K
110632,100104,Core 2 Duo
110633,100104,Core i7 930
110634,100104,Core i7 7820X
110635,100104,Core i5 9600K
110636,100104,Core i5 6500
110637,100104,Core i9 7980XE
110638,100104,Ryzen 7 3700X
110639,100104,Core i3 4130
110640,100104,Core i7 5930K
110641,100104,Core i9 9920X
110642,100104,Core i7 6950X
110643,100104,FX 8300 
110644,100104,Core i5 7640X
110645,100104,Core i7 8700
110646,100104,Ryzen 5 3600
110647,100104,Core i3 3220
110648,100104,Core i3 2100
110649,100104,Pentium Gold G5600
110650,100104,Core i7 7700
110651,100104,Core 2 Duo
110652,100104,A6 7480 
110653,100104,Core i7 920
110654,100104,Core i5 4590
