sound_card_id,product_id,channels,digital_audio,snr,sample_rate,chipset,interface
360101,138848,7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCIe x1
360102,138849,7.1,24-bit,106 dB,192 kHz,,PCIe x1
360103,138850,7.1,32-bit,129 dB,384 kHz,Sound Core3D,PCIe x1
360104,138851,5.1,24-bit,116 dB,192 kHz,,PCIe x1
360105,138852,5.1,,106 dB,,,PCIe x1
360106,138853,7.1,24-bit,116 dB,192 kHz,,PCIe x1
360107,138854,5.1,24-bit,116 dB,96 kHz,,PCIe x1
360108,138855,2.0,32-bit,127 dB,384 kHz,Sound Core3D,PCIe x1
360109,138856,5.1,24-bit,123 dB,192 kHz,,PCIe x1
360110,138857,5.1,24-bit,120 dB,192 kHz,,PCIe x1
360111,138858,5.1,,106 dB,192 kHz,,PCIe x1
360112,138859,2.0,24-bit,124 dB,192 kHz,ASUS AV100,PCIe x1
360113,138860,2.0,,,,,PCIe x1
360114,138861,7.1,24-bit,116 dB,192 kHz,,PCIe x1
360115,138862,5.1,24-bit,124 dB,192 kHz,,PCIe x1
360116,138863,5.1,24-bit,116 dB,192 kHz,,PCIe x1
360117,138864,7.1,24-bit,110 dB,192 kHz,,PCIe x1
360118,138865,7.1,24-bit,100 dB,96 kHz,,PCIe x1
360119,138866,7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCIe x1
360120,138867,7.1,24-bit,124 dB,192 kHz,,PCIe x1
360121,138868,5.1,24-bit,105 dB,96 kHz,C-Media CMI8786,PCIe x1
360122,138869,7.1,24-bit,116 dB,192 kHz,ASUS AV100,PCIe x1
360123,138870,5.1,24-bit,105 dB,96 kHz,C-Media CMI8786,PCI
360124,138871,7.1,24-bit,,192 kHz,C-Media CMI8788,PCIe x1
360125,138872,7.1,24-bit,107 dB,192 kHz,ASUS AV66,PCIe x1
360126,138873,7.1,,124 dB,192 kHz,,PCIe x1
360127,138874,7.1,24-bit,122 dB,96 kHz,X-Fi,PCIe x1
360128,138875,5.1,24-bit,116 dB,192 kHz,,PCIe x1
360129,138876,7.1,24-bit,118 dB,96 kHz,C-Media CMI8888DHT,PCIe x1
360130,138877,7.1,24-bit,120 dB,192 kHz,C-Media CMI8788,PCI
360131,138878,7.1,24-bit,108 dB,96 kHz,,PCI
360132,138879,5.1,24-bit,90 dB,96 kHz,VIA VT1723,PCIe x1
360133,138880,7.1,24-bit,100 dB,96 kHz,,PCI
360134,138881,5.1,24-bit,,192 kHz,Audigy2,PCI
360135,138882,5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1
360136,138883,5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1
360137,138884,7.1,24-bit,100 dB,96 kHz,,PCIe x1
360138,138885,5.1,24-bit,,,,PCIe x1
360139,138886,7.1,24-bit,,192 kHz,C-Media CMI8788,PCI
360140,138887,5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1
360141,138888,7.1,24-bit,,96 kHz,Audigy SE,PCI
360142,138889,7.1,24-bit,109 dB,192 kHz,,PCI
360143,138890,7.1,24-bit,,192 kHz,,PCIe x1
360144,138891,5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1
360145,138892,7.1,16-bit,,96 kHz,,PCI
360146,138893,5.1,24-bit,,48 kHz,C-Media CMI8738,PCI
360147,138894,7.1,24-bit,116 dB,192 kHz,ASUS AV100,PCI
360148,138895,4.0,16-bit,,48 kHz,C-Media CMI8738,PCI
360149,138896,7.1,24-bit,,48 kHz,,PCIe x1
360150,138897,7.1,24-bit,,96 kHz,VIA VT1723,PCI
360151,138898,4.0,16-bit,,48 kHz,C-Media CMI8738,PCI
360152,138899,7.1,24-bit,,192 kHz,,PCIe x1
360153,138900,5.1,16-bit,,48 kHz,,PCI
360154,138901,7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCI
360155,138902,5.1,24-bit,,48 kHz,,PCI
360156,138903,7.1,,,44.1 kHz,,PCIe x1
360157,138904,7.1,,,,C-Media CMI8770,PCI
360158,138905,5.1,24-bit,,192 kHz,C-Media CMI8788,PCI
360159,138906,7.1,24-bit,92 dB,96 kHz,,PCI
360160,138907,5.1,16-bit,68 dB,,,PCI
360161,138908,7.1,16-bit,,96 kHz,C-Media CMI8768,PCI
360162,138909,7.1,24-bit,107 dB,192 kHz,ASUS AV200,PCI
360163,138910,4.0,24-bit,,192 kHz,,PCI
360164,138911,5.1,,,,C-Media CMI8738,PCI
360165,138912,7.1,,,48 kHz,,PCI
360166,138913,5.1,24-bit,,96 kHz,VIA VT1723,PCI
360167,138914,5.1,16-bit,,,,PCI
360168,138915,5.1,24-bit,90 dB,96 kHz,VIA VT1723,PCI
360169,138916,2.0,24-bit,104 dB,96 kHz,,PCI
360170,138917,7.1,24-bit,107 dB,192 kHz,ASUS AV200,PCI
360171,138918,7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCI
