speakers_id,product_id,configuration,total_wattage,frequency_response,color
365101,138919,2,0 W,,
365102,138920,5.1,280 W,35 Hz - 20 kHz,
365103,138921,2,120 W,68 Hz - 21 kHz,Black
365104,138922,2.1,120 W,40 Hz - 18 kHz,Black
365105,138923,2.1,40 W,55 Hz - 20 kHz,
365106,138924,5.1,500 W,35 Hz - 20 kHz,
365107,138925,2,0 W,20 Hz - 20 kHz,Black
365108,138926,2.1,200 W,35 Hz - 20 kHz,
365109,138927,2.1,7 W,65 Hz - 20 kHz,
365110,138928,5.1,60 W,180 Hz - 20 kHz,
365111,138929,2,100 W,50 Hz - 22 kHz,
365112,138930,2,0 W,,
365113,138931,2,2.3 W,50 Hz - 20 kHz,
365114,138932,2.1,0 W,35 Hz - 20 kHz,Black
365115,138933,2.1,25 W,48 Hz - 20 kHz,
365116,138934,2.1,30 W,55 Hz - 20 kHz,
365117,138935,2,4.4 W,100 Hz - 17 kHz,Black
365118,138936,5.1,155 W,45 Hz - 20 kHz,
365119,138937,2.1,0 W,,
365120,138938,2,3 W,260 Hz - 20 kHz,
365121,138939,2.1,120 W,31 Hz - 20 kHz,
365122,138940,2,360 W,37 Hz - 22 kHz,
365123,138941,2,0.01 W,,Black
365124,138942,2,120 W,38 Hz - 30 kHz,
365125,138943,2,4.4 W,100 Hz - 17 kHz,White
365126,138944,2,28 W,50 Hz - 20 kHz,
365127,138945,2,0 W,,
365128,138946,2.1,40 W,,
365129,138947,2,100 W,50 Hz - 22 kHz,
365130,138948,5.1,70 W,40 Hz - 20 kHz,
365131,138949,2,100 W,50 Hz - 22 kHz,
365132,138950,2.1,10 W,160 Hz - 20 kHz,
365133,138951,2.1,200 W,,
365134,138952,2,5 W,140 Hz - 18 kHz,
365135,138953,2.1,60 W,55 Hz - 20 kHz,
365136,138954,2,66 W,60 Hz - 20 kHz,Black / Brown
365137,138955,2,60 W,65 Hz - 22 kHz,
365138,138956,2,10 W,80 Hz - 20 kHz,
365139,138957,2,0 W,,
365140,138958,1,120 W,38 Hz - 30 kHz,
365141,138959,2.1,30 W,50 Hz - 20 kHz,
365142,138960,2,2.2 W,103 Hz - 20 kHz,Black
365143,138961,2,0 W,,
365144,138962,2.1,40 W,44 Hz - 20 kHz,
365145,138963,2.1,0 W,,
365146,138964,2,50 W,80 Hz - 20 kHz,White / Black
365147,138965,2.1,232 W,35 Hz - 20 kHz,
365148,138966,5.1,57 W,50 Hz - 20 kHz,Black
365149,138967,2,1.2 W,90 Hz - 20 kHz,
365150,138968,1,50 W,45 Hz - 20 kHz,Black
365151,138969,2.1,40 W,44 Hz - 20 kHz,
365152,138970,2,0.01 W,,White
365153,138971,2,32 W,50 Hz - 20 kHz,
365154,138972,2,50 W,70 Hz - 20 kHz,
365155,138973,1,70 W,54 Hz - 30 kHz,
365156,138974,2,60 W,65 Hz - 22 kHz,
365157,138975,2.1,9 W,40 Hz - 20 kHz,
365158,138976,2,50 W,80 Hz - 20 kHz,
365159,138977,2,50 W,50 Hz - 22 kHz,
365160,138978,2,150 W,60 Hz - 20 kHz,
365161,138979,2,0 W,50 Hz - 20 kHz,Black
365162,138980,2.1,14 W,38 Hz - 18 kHz,
365163,138981,2,60 W,65 Hz - 22 kHz,
365164,138982,2.1,0 W,,Black / Gray
365165,138983,2,50 W,80 Hz - 20 kHz,Black
365166,138984,2,180 W,49 Hz - 22 kHz,
365167,138985,2,50 W,80 Hz - 20 kHz,White / Black
365168,138986,2,4 W,85 Hz - 18 kHz,
365169,138987,5.1,550 W,28 Hz - 50 kHz,
365170,138988,1,70 W,54 Hz - 30 kHz,
365171,138989,2,4 W,150 Hz - 20 kHz,
365172,138990,2,82 W,43 Hz - 24 kHz,
365173,138991,2.1,40 W,55 Hz - 17 kHz,
365174,138992,2.1,0 W,,
365175,138993,2.1,0 W,100 Hz - 20 kHz,
365176,138994,2,28 W,60 Hz - 20 kHz,
365177,138995,2.1,40 W,48 Hz - 20 kHz,
365178,138996,2,70 W,80 Hz - 20 kHz,Black
365179,138997,2,4.6 W,68 Hz - 20 kHz,Black
