ups_id,product_id,capacity_w,capacity_va
375101,139217,16000,20000
375102,139218,900,1500
375103,139219,10000,10000
375104,139220,900,1500
375105,139221,10000,10000
375106,139222,450,750
375107,139223,865,1500
375108,139224,600,1000
375109,139225,1980,2070
375110,139226,1000,1440
375111,139227,600,1000
375112,139228,2700,3000
375113,139229,810,1350
375114,139230,900,1500
375115,139231,360,600
375116,139232,255,350
375117,139233,330,550
375118,139234,210,325
375119,139235,900,1500
375120,139236,180,350
375121,139237,1050,1500
375122,139238,600,1000
375123,139239,450,700
375124,139240,510,850
375125,139241,3000,3000
375126,139242,360,650
375127,139243,330,550
375128,139244,810,1350
375129,139245,1320,2000
375130,139246,900,1500
375131,139247,8000,8000
375132,139248,1980,2200
375133,139249,900,1500
375134,139250,10000,10000
375135,139251,865,1500
375136,139252,1650,2190
375137,139253,2700,3000
375138,139254,510,850
375139,139255,8400,12000
375140,139256,720,1200
375141,139257,600,1100
375142,139258,865,1500
375143,139259,1980,2200
375144,139260,720,1300
375145,139261,1200,1500
375146,139262,2100,3000
375147,139263,6000,6000
375148,139264,900,1500
375149,139265,255,425
375150,139266,390,650
375151,139267,405,700
375152,139268,780,1300
375153,139269,450,750
375154,139270,650,1080
375155,139271,1050,1500
375156,139272,4500,5000
375157,139273,780,1300
375158,139274,1600,2170
375159,139275,810,1325
375160,139276,720,1200
375161,139277,480,900
375162,139278,1320,2000
375163,139279,7000,10000
375164,139280,980,1500
375165,139281,560,900
375166,139282,940,1500
375167,139283,2700,3000
375168,139284,1980,2200
375169,139285,940,1500
375170,139286,390,650
375171,139287,510,850
375172,139288,405,700
375173,139289,2850,3000
375174,139290,4000,5000
375175,139291,8400,12000
375176,139292,10000,10000
375177,139293,1350,1500
375178,139294,9000,10000
375179,139295,4500,6000
375180,139296,4500,5000
375181,139297,1350,1500
375182,139298,600,1000
375183,139299,900,1500
375184,139300,300,500
375185,139301,330,550
375186,139302,330,550
375187,139303,900,1500
375188,139304,480,900
375189,139305,500,1000
375190,139306,2250,3000
375191,139307,2700,3000
375192,139308,1980,2200
375193,139309,540,900
375194,139310,1980,2200
375195,139311,900,1500
375196,139312,1800,1920
375197,139313,450,750
375198,139314,6000,6000
375199,139315,1980,2200
375200,139316,4250,5000
375201,139317,2700,3000
375202,139318,2150,2150
375203,139319,8000,8000
375204,139320,1425,1440
375205,139321,1650,2150
375206,139322,980,1500
375207,139323,2700,3000
375208,139324,390,685
375209,139325,1300,2200
375210,139326,7200,8000
375211,139327,900,1500
375212,139328,2700,3000
375213,139329,340,600
375214,139330,900,1500
375215,139331,600,1000
375216,139332,8000,8000
375217,139333,480,900
375218,139334,330,550
375219,139335,1200,1500
375220,139336,2400,3000
375221,139337,4000,5000
375222,139338,500,1000
375223,139339,1600,2200
375224,139340,2250,3000
375225,139341,240,400
375226,139342,257,450
375227,139343,780,1300
375228,139344,1800,1920
375229,139345,3750,5000
375230,139346,1000,1500
375231,139347,1000,1440
375232,139348,255,425
375233,139349,900,1500
375234,139350,4200,6000
375235,139351,1800,1920
375236,139352,1600,2200
375237,139353,2700,3000
375238,139354,360,600
375239,139355,2100,3000
375240,139356,2400,3000
375241,139357,1980,2200
375242,139358,400,650
375243,139359,350,700
375244,139360,450,700
375245,139361,420,750
375246,139362,980,1500
375247,139363,4000,5000
375248,139364,4500,5000
375249,139365,450,825
375250,139366,300,500
375251,139367,810,1500
375252,139368,950,1500
375253,139369,2880,3000
375254,139370,2400,3000
375255,139371,390,650
375256,139372,1000,1500
375257,139373,1200,1500
375258,139374,1350,1500
375259,139375,670,1050
375260,139376,2700,3000
375261,139377,1200,1500
375262,139378,450,825
375263,139379,400,700
375264,139380,2700,3000
375265,139381,1200,1500
375266,139382,6400,8000
375267,139383,1600,2200
375268,139384,185,325
375269,139385,1980,2200
375270,139386,1980,2200
375271,139387,810,1350
375272,139388,330,550
375273,139389,980,1500
375274,139390,500,1000
375275,139391,940,1500
375276,139392,2880,3000
375277,139393,1600,2200
375278,139394,670,1000
375279,139395,450,750
375280,139396,300,500
375281,139397,4500,5000
375282,139398,2700,3000
375283,139399,330,550
375284,139400,6300,6300
375285,139401,5400,6000
375286,139402,1600,2200
375287,139403,150,300
375288,139404,2850,3000
375289,139405,800,1000
375290,139406,600,1000
375291,139407,325,650
375292,139408,900,1500
375293,139409,900,1500
375294,139410,450,750
375295,139411,280,450
375296,139412,300,500
375297,139413,425,850
375298,139414,1800,2200
375299,139415,2400,3000
375300,139416,1600,2200
375301,139417,800,1000
375302,139418,800,1000
375303,139419,2700,3000
375304,139420,1000,1500
375305,139421,1800,2200
375306,139422,750,1000
375307,139423,525,750
375308,139424,300,550
375309,139425,450,750
375310,139426,940,1500
375311,139427,3800,5000
375312,139428,700,1200
375313,139429,705,1050
375314,139430,1920,2200
375315,139431,700,1000
375316,139432,390,650
375317,139433,185,325
375318,139434,980,1440
375319,139435,2700,3000
375320,139436,4000,5000
375321,139437,390,620
375322,139438,450,800
375323,139439,800,1000
375324,139440,1350,1500
375325,139441,1350,1500
375326,139442,325,650
375327,139443,940,1500
375328,139444,1600,2200
375329,139445,2880,3000
375330,139446,2250,3000
375331,139447,5400,6000
375332,139448,1600,2200
375333,139449,1920,2600
375334,139450,3750,5000
375335,139451,2880,3000
375336,139452,1200,1500
375337,139453,600,1000
375338,139454,1540,2200
375339,139455,2700,3000
375340,139456,600,1000
375341,139457,2100,3000
375342,139458,260,420
375343,139459,1980,2200
375344,139460,390,685
375345,139461,180,350
375346,139462,350,700
375347,139463,8000,10000
375348,139464,800,1000
375349,139465,1350,1500
375350,139466,1350,1500
375351,139467,450,750
375352,139468,940,1400
375353,139469,500,1000
375354,139470,500,750
375355,139471,2700,3000
375356,139472,670,1000
375357,139473,390,650
375358,139474,450,750
375359,139475,75,125
375360,139476,225,350
375361,139477,257,450
375362,139478,405,700
375363,139479,865,1500
375364,139480,1000,1500
375365,139481,2700,3000
375366,139482,980,1440
375367,139483,1000,1500
375368,139484,1000,1500
375369,139485,1400,2000
375370,139486,2250,3000
375371,139487,600,1000
375372,139488,1050,1500
375373,139489,1050,1500
375374,139490,3500,5000
375375,139491,700,1000
375376,139492,2700,3000
375377,139493,1850,2200
375378,139494,250,500
375379,139495,600,750
375380,139496,1425,1500
375381,139497,360,650
375382,139498,2100,3000
375383,139499,1000,1500
375384,139500,600,1000
375385,139501,700,1000
375386,139502,1000,1500
375387,139503,1600,2170
375388,139504,2250,3000
375389,139505,,600
375390,139506,2700,2880
375391,139507,375,600
375392,139508,180,300
375393,139509,1600,2200
375394,139510,1600,2200
375395,139511,300,550
375396,139512,4200,6000
375397,139513,5400,6000
375398,139514,1200,1500
375399,139515,1600,2200
375400,139516,2500,3000
375401,139517,700,1000
375402,139518,980,1500
375403,139519,1600,2200
375404,139520,2250,3000
375405,139521,940,1200
375406,139522,425,600
375407,139523,400,800
375408,139524,1000,1500
375409,139525,900,1500
375410,139526,2400,3000
375411,139527,900,1500
