wired_network_card_id,product_id,interface,ports,color
390101,144050,PCIe x1,1000 Mb/s,
390102,144051,PCIe x4,10 Gb/s,
390103,144052,PCIe x8,2 x 10 Gb/s,
390104,144053,USB 2.0,1000 Mb/s,
390105,144054,PCIe x1,1000 Mb/s,
390106,144055,PCIe x4,2 x 10 Gb/s,
390107,144056,PCIe x4,2 x 1000 Mb/s,
390108,144057,PCIe x8,2 x 10 Gb/s,
390109,144058,PCIe x4,4 x 1000 Mb/s,
390110,144059,PCIe x4,10 Gb/s,
390111,144060,PCIe x4,10 Gb/s,
390112,144061,PCIe x8,2 x 10 Gb/s,
390113,144062,PCIe x1,1000 Mb/s,
390114,144063,USB Type-C,2.5 Gb/s,Black
390115,144064,PCIe x4,10 Gb/s,Black / White
390116,144065,PCIe x1,2 x 1000 Mb/s,
390117,144066,PCIe x4,2 x 1000 Mb/s,Green / Black
390118,144067,PCIe x4,10 Gb/s,Green / Black
390119,144068,USB 3.0,1000 Mb/s,
390120,144069,USB 3.0,1000 Mb/s,
390121,144070,PCIe x4,4 x 1000 Mb/s,
390122,144071,PCIe x4,4 x 1000 Mb/s,
390123,144072,USB 3.0,4 x 1000 Mb/s,Black
390124,144073,PCIe x1,4 x 1000 Mb/s,Green / Black
390125,144074,PCIe x4,10 Gb/s,Green / Silver
390126,144075,PCIe x1,2 x 1000 Mb/s,
390127,144076,USB 3.0,2 x 1000 Mb/s,
390128,144077,USB 3.0,1000 Mb/s,Black
390129,144078,PCIe x8,2 x 10 Gb/s,Green / Black
390130,144079,PCIe x8,2 x 10 Gb/s,
390131,144080,PCIe x4,4 x 1000 Mb/s,
390132,144081,PCIe x4,2 x 10 Gb/s,Black / Silver
390133,144082,PCIe x1,1000 Mb/s,
390134,144083,USB 3.0,1000 Mb/s,
390135,144084,PCIe x1,1000 Mb/s,
390136,144085,PCIe x1,2 x 1000 Mb/s,
390137,144086,PCIe x4,4 x 1000 Mb/s,
390138,144087,PCIe x4,10 Gb/s,Green / Black
390139,144088,PCIe x4,4 x 1000 Mb/s,
390140,144089,PCIe x1,100 Mb/s,
390141,144090,PCIe x4,2 x 1000 Mb/s,
390142,144091,PCI,1000 Mb/s,
390143,144092,PCIe x4,4 x 1000 Mb/s,
390144,144093,PCI,1000 Mb/s,
390145,144094,PCIe x4,2 x 1000 Mb/s,
390146,144095,PCIe x1,1000 Mb/s,
390147,144096,PCIe x4,4 x 1000 Mb/s,Green / Black
390148,144097,USB 2.0,100 Mb/s,
390149,144098,PCI,1000 Mb/s,
390150,144099,PCIe x1,1000 Mb/s,
390151,144100,PCI,100 Mb/s,
390152,144101,PCIe x4,4 x 1000 Mb/s,
390153,144102,USB 3.0,1000 Mb/s,
390154,144103,PCIe x4,4 x 1000 Mb/s,
390155,144104,USB 3.0,1000 Mb/s,
390156,144105,USB 3.0,1000 Mb/s,
390157,144106,PCIe x1,2 x 1000 Mb/s,Green / Black
390158,144107,USB Type-C,1000 Mb/s,
390159,144108,PCIe x1,2 x 1000 Mb/s,
390160,144109,PCI,1000 Mb/s,
390161,144110,USB Type-C,1000 Mb/s,Black
390162,144111,USB 3.0,1000 Mb/s,
390163,144112,PCIe x1,1000 Mb/s,
390164,144113,PCI,100 Mb/s,
390165,144114,PCI,100 Mb/s,
390166,144115,PCIe x4,2 x 1000 Mb/s,
390167,144116,PCIe x1,1000 Mb/s,Black
390168,144117,PCIe x4,4 x 1000 Mb/s,
390169,144118,PCI,1000 Mb/s,
390170,144119,USB 3.0,1000 Mb/s,
390171,144120,USB 2.0,1000 Mb/s,
390172,144121,USB Type-C,1000 Mb/s,Black
390173,144122,PCI,100 Mb/s,
390174,144123,USB 3.0,1000 Mb/s,
390175,144124,USB 3.0,1000 Mb/s,
390176,144125,USB 2.0,100 Mb/s,
390177,144126,USB 1.0,100 Mb/s,
390178,144127,PCIe x1,2 x 1000 Mb/s,
390179,144128,PCIe x1,2 x 1000 Mb/s,
390180,144129,USB 3.0,1000 Mb/s,
390181,144130,PCI,1000 Mb/s,
390182,144131,PCIe x1,1000 Mb/s,
390183,144132,PCI,1000 Mb/s,
390184,144133,USB 1.0,100 Mb/s,
390185,144134,USB 2.0,100 Mb/s,
390186,144135,PCI-X,1000 Mb/s,
390187,144136,PCIe x4,2 x 1000 Mb/s,
390188,144137,USB 3.0,1000 Mb/s,
390189,144138,PCI,100 Mb/s,
390190,144139,USB 3.0,1000 Mb/s,White
390191,144140,PCIe x4,4 x 1000 Mb/s,Green / Silver
390192,144141,USB Type-C,1000 Mb/s,Black
390193,144142,USB 3.0,1000 Mb/s,
390194,144143,USB 1.0,1000 Mb/s,
390195,144144,USB 3.0,1000 Mb/s,Black
390196,144145,Mini-PCIe,1000 Mb/s,
390197,144146,PCI,1000 Mb/s,
390198,144147,PCI,1000 Mb/s,
390199,144148,USB Type-C,1000 Mb/s,Black
390200,144149,PCI,1000 Mb/s,
390201,144150,USB 1.0,100 Mb/s,
390202,144151,USB 3.0,1000 Mb/s,Black
390203,144152,USB Type-C,1000 Mb/s,
390204,144153,PCI,1000 Mb/s,
390205,144154,PCI,1000 Mb/s,
390206,144155,USB 3.0,1000 Mb/s,
390207,144156,PCIe x1,1000 Mb/s,
390208,144157,PCIe x4,4 x 1000 Mb/s,
390209,144158,PCIe x1,1000 Mb/s,
390210,144159,PCIe x1,1000 Mb/s,
390211,144160,PCIe x4,2 x 1000 Mb/s,
390212,144161,PCI-X,2 x 1000 Mb/s,
390213,144162,USB 1.0,10 Mb/s,
390214,144163,Mini-PCIe,1000 Mb/s,
390215,144164,PCI-X,2 x 1000 Mb/s,
390216,144165,PCI,100 Mb/s,
390217,144166,PCIe x4,4 x 1000 Mb/s,
390218,144167,PCI,1000 Mb/s,
390219,144168,PCI,1000 Mb/s,
390220,144169,PCI,100 Mb/s,
390221,144170,USB 2.0,100 Mb/s,
