wireless_network_card_id,product_id,protocol,interface,color
395101,144171,802.11a/b/g/n/ac,PCIe x1,
395102,144172,802.11b/g/n,PCIe x1,
395103,144173,802.11a/b/g/n/ac,PCIe x1,
395104,144174,802.11a/b/g/n/ac,PCIe x1,
395105,144175,802.11a/b/g/n/ac,PCIe x1,
395106,144176,802.11a/b/g/n/ac,PCIe x1,
395107,144177,802.11b/g/n,USB 2.0,
395108,144178,802.11a/b/g/n/ac,PCIe x1,
395109,144179,802.11a/b/g/n/ac,PCIe x1,
395110,144180,802.11a/b/g/n/ac,USB 3.0,
395111,144181,802.11a/b/g/n/ax,PCIe x1,Black
395112,144182,802.11a/b/g/n/ac,PCIe x1,
395113,144183,802.11a/b/g/n,PCIe x1,
395114,144184,802.11b/g/n,USB 2.0,
395115,144185,802.11a/b/g/n/ac,USB 2.0,Black
395116,144186,802.11a/b/g/n,PCIe x1,
395117,144187,802.11a/b/g/n/ac,PCIe x1,Black
395118,144188,802.11a/b/g/n/ac,USB 2.0,
395119,144189,802.11a/b/g/n/ac,PCIe x1,
395120,144190,802.11a/b/g/n/ac,USB 3.0,
395121,144191,802.11a/b/g/n/ac,PCIe x1,Black
395122,144192,802.11a/b/g/n/ac,USB 3.0,Black
395123,144193,802.11a/b/g/n,USB 2.0,
395124,144194,802.11b/g/n,PCIe x1,
395125,144195,802.11b/g/n,PCIe x1,
395126,144196,802.11a/b/g/n/ac,PCIe x1,Black / Silver
395127,144197,802.11a/b/g/n,PCIe x1,Green / Black
395128,144198,802.11a/b/g/n/ac,PCIe x1,
395129,144199,802.11b/g/n,USB 2.0,
395130,144200,802.11a/b/g/n/ac,USB 2.0,Black
395131,144201,802.11a/b/g/n/ac,USB 3.0,Black
395132,144202,802.11a/b/g/n/ac,PCIe x1,Black / Orange
395133,144203,802.11b/g/n,USB 2.0,
395134,144204,802.11b/g/n,PCIe x1,
395135,144205,802.11a/b/g/n/ac,PCIe x1,Black
395136,144206,802.11a/b/g/n/ac,PCIe x1,
395137,144207,802.11a/b/g/n/ac,USB 3.0,Black
395138,144208,802.11a/b/g/n/ac,PCIe x1,Blue
395139,144209,802.11a/b/g/n/ac,PCIe x1,Red / Black
395140,144210,802.11a/b/g/n/ac,PCIe x1,Black
395141,144211,802.11b/g/n,USB 2.0,
395142,144212,802.11a/b/g/n/ac,PCIe x1,
395143,144213,802.11a/b/g/n/ac,PCIe x1,Black / Gold
